"","y","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"3335",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","g"
"6815",1,"p","f","s","e","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6519",1,"p","f","y","e","f","f","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l"
"1271",1,"e","f","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g"
"3847",1,"e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"7978",1,"e","k","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","o","o","p","o","v","l"
"5561",1,"p","x","s","w","t","f","f","c","b","p","t","b","s","s","w","w","p","w","o","p","h","v","g"
"7735",1,"p","k","y","n","f","f","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l"
"8096",1,"p","x","y","c","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6357",1,"p","f","y","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"7078",1,"p","f","y","e","f","y","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","l"
"4928",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","g"
"4004",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3676",1,"p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"2518",1,"e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"1847",1,"e","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
"5224",1,"e","x","s","p","t","n","f","c","b","e","e","?","s","s","w","e","p","w","t","e","w","c","w"
"53",1,"e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"6009",1,"p","x","s","e","f","s","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","l"
"7017",1,"e","x","s","w","f","n","f","w","b","w","e","?","s","s","w","w","p","w","t","p","w","n","g"
"7783",1,"e","b","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","o","v","l"
"4748",1,"p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"2685",1,"e","x","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","d"
"437",1,"e","x","f","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"1044",1,"e","x","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1662",1,"e","x","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"3864",1,"e","x","y","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d"
"582",1,"e","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"4582",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"7108",1,"p","f","s","e","f","y","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"321",1,"e","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"1630",1,"p","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"7268",1,"p","k","y","e","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"4465",1,"p","f","y","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"6195",1,"e","b","s","g","f","n","f","w","b","w","e","?","s","k","w","w","p","w","t","p","w","n","g"
"1282",1,"e","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"7990",1,"p","f","s","n","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"5040",1,"p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"356",1,"e","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","u"
"3633",1,"p","x","s","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"2706",1,"e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"6347",1,"p","f","s","n","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l"
"516",1,"e","x","f","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
"6651",1,"p","x","y","e","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"7875",1,"p","k","y","n","f","f","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"7543",1,"e","b","f","g","f","n","f","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","g"
"605",1,"e","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"5125",1,"p","f","s","w","t","f","f","c","b","h","t","b","f","f","w","w","p","w","o","p","h","v","g"
"5511",1,"p","f","s","g","t","f","f","c","b","w","t","b","s","f","w","w","p","w","o","p","h","s","g"
"3716",1,"e","f","y","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"6761",1,"p","x","s","n","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d"
"6981",1,"p","k","s","n","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","l"
"3328",1,"p","x","f","p","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"4289",1,"p","x","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","d"
"5981",1,"e","f","y","w","f","n","f","c","n","w","e","?","s","f","w","w","p","w","o","f","h","y","d"
"5253",1,"e","k","y","b","t","n","f","c","b","w","e","?","s","s","w","e","p","w","t","e","w","c","w"
"5373",1,"p","x","s","b","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","s","g"
"5051",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"2933",1,"e","x","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d"
"2632",1,"e","f","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"2865",1,"e","x","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3231",1,"e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"68",1,"e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"1526",1,"e","x","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g"
"5612",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","g"
"1093",1,"e","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2235",1,"e","f","y","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2164",1,"e","x","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d"
"1599",1,"e","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"4962",1,"p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"622",1,"e","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"5453",1,"p","f","y","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"333",1,"e","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"8051",1,"p","k","s","n","f","s","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","d"
"2195",1,"e","f","f","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","d"
"4028",1,"p","f","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4352",1,"p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"7318",1,"p","k","s","n","f","f","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l"
"5103",1,"p","f","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","d"
"1463",1,"e","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","g"
"7686",1,"e","x","s","w","f","n","f","w","b","w","e","?","k","s","w","w","p","w","t","p","w","n","g"
"3014",1,"p","x","f","w","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","s","d"
"4121",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"6856",1,"p","k","y","n","f","m","f","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"7020",1,"e","x","f","w","f","n","f","w","b","g","e","?","k","k","w","w","p","w","t","p","w","s","g"
"1447",1,"e","x","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"3388",1,"e","f","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","d"
"417",1,"e","x","f","w","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"5420",1,"p","f","y","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","d"
"2337",1,"e","x","f","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","v","d"
"7332",1,"p","k","s","n","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d"
"415",1,"p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"4559",1,"p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","d"
"7313",1,"p","k","y","e","f","y","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l"
"224",1,"e","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3013",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1",1,"p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"4484",1,"p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","g"
"6156",1,"p","k","s","n","f","y","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","d"
"5282",1,"p","f","y","w","t","n","f","w","n","w","e","b","s","s","w","w","p","w","o","p","w","c","l"
"1902",1,"e","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1096",1,"p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1557",1,"e","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"5915",1,"e","x","y","p","t","n","f","c","b","e","e","?","s","s","w","w","p","w","t","e","w","c","w"
"6691",1,"p","x","s","n","f","y","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d"
"4189",1,"p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","d"
"6941",1,"p","f","y","n","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l"
"1565",1,"e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"7265",1,"p","k","y","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l"
"1061",1,"e","f","s","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"5668",1,"p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"7697",1,"p","k","y","e","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","d"
"2305",1,"e","x","y","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2870",1,"e","x","y","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"6454",1,"p","f","y","n","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6256",1,"p","x","y","e","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d"
"7667",1,"p","k","y","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"2070",1,"e","x","f","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"7780",1,"e","k","s","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","d"
"658",1,"e","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"2126",1,"e","x","y","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"4180",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"2006",1,"e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","g"
"5190",1,"p","x","y","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4581",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","d"
"2342",1,"e","x","y","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d"
"616",1,"e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"4520",1,"e","x","s","b","t","n","f","c","b","w","e","?","s","s","e","w","p","w","t","e","w","c","w"
"6887",1,"p","k","y","n","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d"
"3869",1,"p","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3222",1,"e","f","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d"
"2980",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"4232",1,"p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"898",1,"e","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"8035",1,"e","k","s","n","f","n","a","c","b","n","e","?","s","s","o","o","p","o","o","p","b","c","l"
"5200",1,"p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g"
"623",1,"e","x","f","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"1542",1,"e","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"6654",1,"p","x","y","e","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l"
"5034",1,"p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","g"
"4992",1,"p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","d"
"7254",1,"e","x","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","o","o","p","o","v","l"
"7582",1,"e","k","f","w","f","n","f","w","b","g","e","?","s","k","w","w","p","w","t","p","w","n","g"
"6991",1,"e","k","s","g","f","n","f","w","b","p","e","?","k","k","w","w","p","w","t","p","w","n","g"
"6274",1,"p","x","s","n","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l"
"631",1,"e","f","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"6759",1,"p","x","y","e","f","s","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d"
"1451",1,"e","f","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"4571",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"549",1,"e","x","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"537",1,"e","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"6030",1,"p","f","s","e","f","y","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l"
"835",1,"e","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"629",1,"e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"3225",1,"e","x","f","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"6925",1,"e","b","f","g","f","n","f","w","b","p","e","?","k","k","w","w","p","w","t","p","w","n","g"
"1156",1,"e","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"4330",1,"p","x","y","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"1827",1,"e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"5434",1,"p","x","s","b","t","f","f","c","b","w","t","b","f","s","w","w","p","w","o","p","h","s","g"
"561",1,"e","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"4760",1,"p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","d"
"6253",1,"p","f","y","n","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"3126",1,"e","f","y","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d"
"568",1,"e","f","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1489",1,"e","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","g"
"5277",1,"p","x","s","g","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","u"
"2263",1,"e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2824",1,"e","f","f","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"4372",1,"p","x","y","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","d"
"6930",1,"p","f","s","n","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","d"
"5873",1,"p","x","y","n","f","s","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","d"
"3097",1,"e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","d"
"186",1,"p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1703",1,"e","f","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g"
"6700",1,"p","f","y","e","f","s","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l"
"2095",1,"e","f","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"3495",1,"e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","y","d"
"2102",1,"e","f","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"4633",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","d"
"1057",1,"e","x","f","w","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"5259",1,"p","f","s","g","t","f","f","c","b","w","t","b","f","s","w","w","p","w","o","p","h","s","u"
"6374",1,"p","f","s","n","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d"
"4113",1,"p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","g"
"6084",1,"p","f","y","n","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"4412",1,"p","f","s","b","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","v","u"
"5155",1,"p","x","y","n","f","n","f","c","n","w","e","?","k","y","w","y","p","w","o","e","w","v","d"
"7661",1,"p","k","s","n","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d"
"2628",1,"p","x","f","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"7872",1,"e","b","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","b","v","l"
"338",1,"e","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"5977",1,"e","k","s","e","t","n","f","c","b","e","e","?","s","s","w","w","p","w","t","e","w","c","w"
"1245",1,"e","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"4670",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","g"
"184",1,"e","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"5097",1,"p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","d"
"7129",1,"e","f","s","n","f","n","a","c","b","n","e","?","s","s","o","o","p","n","o","p","y","v","l"
"4238",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","d"
"3512",1,"p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","d"
"5727",1,"p","b","s","w","t","n","f","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","m"
"4362",1,"p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"242",1,"e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"1098",1,"e","x","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1261",1,"p","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"3121",1,"e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d"
"7295",1,"p","f","y","e","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l"
"3868",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1440",1,"e","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","g"
"5858",1,"p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","d"
"3160",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","d"
"1535",1,"e","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"2380",1,"e","x","f","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"5762",1,"p","x","y","n","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l"
"4014",1,"p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","d"
"7803",1,"p","x","s","n","f","s","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d"
"3778",1,"e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"7899",1,"e","f","y","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","v","p"
"206",1,"p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"7337",1,"p","f","y","e","f","m","f","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"4039",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","d"
"1602",1,"e","f","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"6892",1,"p","f","s","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"6818",1,"p","f","y","n","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"6729",1,"p","x","s","e","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d"
"1183",1,"e","f","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
"2355",1,"e","x","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d"
"4088",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"7886",1,"p","k","s","e","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d"
"3198",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d"
"2794",1,"e","f","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"1538",1,"p","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","u"
"5593",1,"p","f","y","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"1796",1,"p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"2023",1,"e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2061",1,"e","f","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1673",1,"e","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p"
"7292",1,"p","k","y","n","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l"
"6038",1,"p","f","y","n","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l"
"5925",1,"p","f","y","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","d"
"5882",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","g"
"7266",1,"p","f","y","n","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d"
"2200",1,"e","f","f","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","d"
"4502",1,"p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","g"
"1919",1,"e","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"6321",1,"p","x","y","e","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"2742",1,"e","f","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","d"
"7653",1,"e","f","s","n","f","n","a","c","b","n","e","?","s","s","o","o","p","n","o","p","b","c","l"
"3107",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d"
"6361",1,"p","f","y","n","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","d"
"2208",1,"e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"66",1,"e","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"4338",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","d"
"736",1,"e","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"328",1,"p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1161",1,"e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"2171",1,"e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"4182",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d"
