"","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"4068",0.085812638,27,0,0.188603799,3000,13,0,0,0,0,0
"4069",0.397824817,55,0,0.116446579,9995,6,0,1,0,1,0
"4070",0.912541825,38,1,0.443015256,6685,9,0,3,0,0,0
"4072",0.019282271,35,0,0.350532473,6666,9,0,1,0,2,0
"4076",0.9999999,47,0,0.418290855,2000,2,0,1,0,2,0
"4080",0.011150379,68,0,0.228885242,7920,14,0,1,0,0,0
"4092",0.135711054,54,0,0.305211849,8000,14,0,2,0,1,0
"4115",0.036393938,68,0,1.306553911,945,10,0,2,0,0,0
"4121",0.077188205,57,0,0.007713184,7000,3,0,0,0,1,0
"4128",0,48,0,1.788359788,1700,4,0,2,0,0,0
"4129",0.072582643,48,0,0.235464231,13139,16,0,4,0,1,0
"4135",0.044530365,56,0,0.009995002,2000,1,0,0,0,1,0
"4138",1.211576846,57,3,0.483971044,2900,5,0,1,0,0,0
"4141",0.003060513,49,0,0.274362819,2000,4,0,1,0,0,0
"4142",0.662187265,35,1,0.275085763,4663,8,0,0,0,0,0
"4148",0.017346718,57,0,0.137345394,5416,13,0,1,0,1,0
"4153",0.029428546,48,0,0.242900302,4964,4,0,1,0,1,0
"4156",0.9999999,47,0,0,1104,1,0,0,0,0,0
"4158",0.907660203,41,0,0.129945856,2400,4,0,0,0,2,0
"4159",0.00588372,58,0,0.268702718,7137,17,0,1,0,1,0
"4193",0.007742376,46,0,0.199786681,15000,17,0,1,0,4,0
"4200",0.146918163,52,0,0.934210526,2583,8,0,1,0,0,0
"4206",0.054478032,67,0,0.337504776,10467,7,0,2,0,1,0
"4208",0.017766242,38,0,0.563430349,4500,9,0,1,0,0,0
"4210",0.009217479,67,0,0.039933444,600,8,0,0,0,0,0
"4217",0.170294209,70,0,0.252117448,7083,14,0,1,0,0,0
"4219",0.78719415,48,0,1.241094863,2666,4,0,1,0,0,0
"4221",0.684707424,58,0,0.334091849,4833,9,0,1,0,1,0
"4226",0.01470778,76,0,0.139825218,800,3,0,0,0,0,0
"4227",0.547727193,56,1,0.1952012,4000,5,0,0,0,1,0
"4236",0.018224839,79,0,0.24243939,8001,5,0,1,0,0,0
"4239",0.511179785,43,1,0.065064916,6700,6,0,0,0,1,0
"4240",0.9999999,40,3,0.34824345,15000,8,0,3,0,2,0
"4252",0.263855441,52,0,0.514612452,2360,13,0,1,0,3,0
"4254",0.01408216,33,0,0.469469738,3733,7,0,2,0,1,0
"4257",0.223072967,39,0,0.116823765,3500,5,0,0,0,0,0
"4262",0.040153962,58,0,0.104973894,10916,8,0,2,0,1,0
"4265",0.013401574,54,0,0.449461053,4916,12,0,2,0,3,0
"4274",0.002019339,43,1,0.000249938,4000,2,0,0,0,1,0
"4277",0.560253011,38,0,0.351529694,5000,6,0,1,0,3,0
"4282",0.371401036,29,0,0.459297344,3500,8,0,1,0,2,0
"4283",0.124682962,53,0,2.123125852,2200,12,0,2,0,0,0
"4288",0.88109977,30,0,0.615912013,7000,16,0,2,0,0,0
"4293",0.034292375,81,0,0.087608191,9473,10,0,0,0,0,0
"4300",0.619441618,49,1,0.664201479,10005,15,0,2,0,3,0
"4305",0.068661581,31,0,0.152230216,3474,7,0,0,0,0,0
"4307",0.141917705,44,0,0.112071535,3354,6,0,0,0,1,0
"4333",0.056838932,63,0,0.515023112,2595,4,0,1,0,0,0
"4335",0.0483289,88,0,0.040564374,1700,4,0,0,0,0,0
"4344",0.9999999,57,1,0.122238586,4073,1,1,0,0,1,0
"4347",0.264470655,65,0,0.546597872,3100,17,0,1,0,0,0
"4353",0.305612361,40,0,0.348137234,4750,4,0,2,0,2,0
"4354",0,70,0,0,25000,1,0,0,0,1,0
"4356",0.000296274,30,1,0,3405,1,0,0,0,0,0
"4358",0,77,0,0.009541118,2200,3,0,0,0,0,0
"4360",0.467968802,30,0,0.24635993,5150,5,0,1,0,0,0
"4361",0.02414968,49,0,0.148170366,5000,6,0,0,0,0,0
"4362",0.610408703,41,1,0.064417178,2933,7,0,0,0,2,0
"4383",0.094098543,40,0,0.245625729,6000,3,0,1,0,0,0
"4391",0.433815665,69,0,0.202290076,5501,18,0,0,0,0,0
"4397",0.032945929,54,0,0.008283348,3500,9,0,0,0,0,0
"4401",0.036704522,59,1,0.267811016,12000,27,0,2,0,1,0
"4403",0.333533328,63,0,0.513920671,5243,6,0,2,0,0,0
"4409",0.004798122,78,0,0.050691244,650,26,0,0,0,0,0
"4413",0.126645559,32,0,0.1317485,4500,6,0,0,0,0,0
"4415",0.112473542,49,0,0.172153635,2915,4,0,0,0,1,0
"4419",0.143161193,42,0,0.667203682,4344,11,0,1,0,0,0
"4423",0.671013445,43,0,0.669481169,9000,20,0,3,0,2,0
"4431",0.902887139,28,0,0.210404177,5170,4,0,0,0,2,0
"4432",0.040754969,70,0,0.105178964,5000,14,0,0,0,0,0
"4447",0,58,0,0.018947864,16993,5,0,1,0,0,0
"4448",0.23987476,52,0,0.55381413,8166,13,0,2,0,0,0
"4453",0.08628288,61,0,0.310054326,12700,10,0,3,0,0,0
"4455",0.222653912,69,0,0.68426448,1950,11,0,0,0,0,0
"4462",0.019841213,72,0,0.00063076,65000,20,0,0,0,0,0
"4466",0.853622662,65,0,0.374850012,4166,7,0,0,0,0,0
"4474",0.564424573,53,0,0.152935948,18000,12,0,0,0,0,0
"4476",0.080224999,41,0,0.078674065,7028,20,0,0,0,1,0
"4480",0.202821521,50,0,0.658452722,5234,13,0,2,0,1,0
"4489",0.237463033,52,1,0.290237467,7200,7,0,2,0,1,0
"4498",0.617555426,59,1,0.471348452,4100,9,0,0,0,0,0
"4507",0.007157644,58,0,0.06591372,5400,9,0,0,0,0,0
"4508",0.832064538,45,0,0.319839411,8966,9,0,1,0,3,0
"4509",0.062894979,74,0,0.527934008,8000,15,0,3,0,0,0
"4510",0.094709776,52,0,0.179268096,12405,5,0,1,0,1,0
"4519",0.979881444,57,0,0.5456621,3065,5,0,1,0,0,0
"4523",0.7066082,67,0,0.480906149,9269,10,0,2,0,1,0
"4526",0.375340806,51,3,0.541422936,7350,9,0,2,0,0,0
"4541",0.223850766,29,1,0.441416894,1100,4,0,0,0,0,0
"4544",0.602189687,53,1,0.628628344,3513,7,0,1,0,2,0
"4545",0.062204752,48,1,0.10522443,17666,9,0,1,0,2,0
"4547",0.120065732,39,0,0.161376545,2992,5,0,0,0,3,0
"4549",0.033462205,42,0,0.256946248,7701,3,0,1,0,0,0
"4551",0,25,0,0.34643571,1500,2,1,0,0,0,0
"4552",0.460783701,50,0,0.226864506,10243,7,0,2,0,1,0
"4561",0.014143949,87,0,0.004989695,9218,9,0,0,1,0,0
"4562",0.495921267,44,1,1.342266102,2126,5,0,2,0,2,0
"4563",0.005823187,55,0,0.000342818,5833,3,0,0,0,1,0
"4564",0.594025668,78,0,0.291221956,4590,10,0,2,0,0,0
"4574",0.9999999,46,0,0.097167585,5083,10,0,0,0,1,0
"4580",0.091902678,43,1,0.325928328,12333,13,0,2,0,0,0
"4582",0.280510888,54,0,0.260894925,12000,21,0,2,0,2,0
"4583",0.940882353,34,0,0.398629883,5400,4,0,1,0,1,0
"4588",0.212262579,36,0,0.532733369,5666,8,0,2,0,2,0
"4590",0.418346424,45,0,0.489114659,6200,7,0,2,0,2,0
"4615",0.139675167,56,0,0.893643032,1635,12,0,0,0,0,0
"4619",0.000311797,40,0,0.340759783,3500,7,0,1,0,2,0
"4625",0.185974958,51,0,0.031610521,4333,5,0,0,0,2,0
"4626",0.199302029,77,0,0.189004998,2200,14,0,1,0,0,0
"4639",0.121462849,64,0,0.657158091,3750,15,0,2,0,1,0
"4644",0.105064665,47,0,0.284914638,3572,6,0,1,0,2,0
"4649",0.55922321,49,0,1.075055804,3583,12,0,2,0,0,0
"4653",0.094044325,73,0,0.302914477,6278,5,0,1,0,0,0
"4654",0.031514444,47,0,0.251749806,9000,17,0,2,0,2,0
"4658",0.024186627,46,0,0.4,6109,10,0,2,0,2,0
"4659",0.229325689,60,0,6.128745838,900,9,0,4,0,0,0
"4673",0.110688582,38,0,0.423065722,10300,8,0,1,0,2,0
"4676",0.957688677,77,0,0.477922517,5910,9,0,0,0,1,0
"4679",0.243920727,48,0,0.280143971,5000,19,0,0,0,0,0
"4686",0.469562471,45,0,0.313098129,7000,5,0,1,0,6,0
"4688",0.057323779,28,0,10,0,1,0,0,0,0,0
"4693",0.511165426,37,1,0.399741268,5410,4,0,1,0,0,0
"4694",0.538860104,41,0,0.37411487,5083,7,0,2,0,0,0
"4701",0.378092332,34,0,0.638289369,2501,8,0,1,0,1,0
"4702",0.278772123,44,0,2873,0,8,0,1,0,2,0
"4706",0.9999999,70,0,0.79181338,2271,2,0,1,0,0,0
"4725",0.000823481,44,0,0.091761791,11300,4,0,1,0,2,0
"4726",0.116988301,49,1,0.327084583,6667,8,0,1,0,1,0
"4733",0.844663935,34,0,0.295327822,5200,6,0,0,0,3,0
"4735",0.9999999,36,0,0.513394642,2500,6,0,1,0,0,0
"4737",0.017046573,85,0,0.467839472,5456,7,0,2,0,0,0
"4749",0.843857534,56,0,0.785506039,2400,4,0,1,0,2,0
"4752",0.801813212,28,0,0.420614139,4200,8,0,1,0,0,0
"4756",0.313534323,46,0,0.43149323,10560,4,0,2,0,2,0
"4758",0,27,0,0.255726781,2400,3,0,0,0,0,0
"4760",0,25,0,223,0,2,0,0,0,0,0
"4769",0.021141137,42,0,0.136172765,3333,5,0,0,0,0,0
"4770",0.116102365,56,1,0.037974684,1500,3,0,0,0,0,0
"4773",0.098407733,58,0,0.253139861,8200,4,0,1,0,0,0
"4776",0.065875895,35,0,0.006449532,3100,2,0,0,0,0,0
"4779",0.297702298,35,0,0.540568836,5730,11,0,1,0,1,0
"4780",0.265208548,60,0,0.699732011,25000,33,0,2,0,0,0
"4784",0.132632473,64,0,0.238030917,13325,11,0,1,0,0,0
"4793",0.079841255,74,0,0.282613997,4100,11,0,1,0,0,0
"4796",0.386507179,39,0,0.364940239,10039,5,0,2,0,2,0
"4802",0.142175356,42,0,0.686475979,3600,5,0,2,0,3,0
"4804",0.00618047,74,0,0.310732698,6400,14,0,1,0,0,0
"4805",0.085248579,67,0,0.87137029,4166,9,0,1,0,0,0
"4814",0.095975545,61,0,0.225824379,5397,18,0,2,0,3,0
"4818",0.29256376,51,0,0.42473579,3500,7,0,1,0,2,0
"4826",0.543203606,71,0,0.533441558,3079,4,0,1,0,1,0
"4832",0.389340993,44,0,0.27037919,5458,8,0,1,0,0,0
"4834",0.357865382,79,0,0.479187817,10834,12,0,2,0,0,0
"4838",0.001428554,57,0,0.000155836,19250,9,0,0,0,3,0
"4846",0.085126921,43,0,0.219479653,5995,13,0,1,0,0,0
"4852",0.434874134,29,0,0.689040208,3083,5,0,1,0,0,0
"4855",0.103744813,34,0,0.152474588,6000,7,0,0,0,0,0
"4857",0.576481283,43,0,0.431712192,1500,7,0,0,0,0,0
"4862",0.027854381,71,0,0.346546974,11250,17,0,1,0,1,0
"4863",0.111633925,48,6,0.355650777,5600,7,0,3,0,2,0
"4865",0.02634837,62,0,0.243219598,8000,6,0,2,0,0,0
"4869",0.901972601,35,0,0.613186541,8083,12,0,1,0,0,0
"4876",0.13470148,50,0,0.422242732,4333,9,0,2,0,1,0
"4883",0.433997988,29,0,0.189270243,3000,10,0,0,0,3,0
"4891",0.375367045,43,0,0.481625741,5904,11,0,1,0,3,0
"4908",0.9999999,36,1,0,7000,0,2,0,0,0,0
"4911",0.522791277,65,0,0.320289698,9250,11,0,2,0,0,0
"4912",0.09093163,39,0,0.103429204,7231,5,0,0,0,3,0
"4926",0,58,0,0.145817774,5355,4,0,0,0,1,0
"4929",0.851395312,49,0,0.321243523,11000,14,1,0,0,0,0
"4930",0.856380984,31,0,1.034261242,2801,8,0,2,0,0,0
"4931",0.038518496,47,0,0.372923294,2828,7,0,0,0,3,0
"4938",0.023189372,72,0,0.278313965,5076,3,0,1,0,0,0
"4949",0,55,0,0,5200,3,0,0,0,0,0
"4953",0.034556532,49,0,0.285168121,10200,5,0,2,0,2,0
"4955",0.569038957,45,0,0.260245036,7100,7,0,1,0,0,0
"4960",0.376438881,58,0,0.432313537,5000,14,0,1,0,0,0
"4964",0.558490995,39,0,0.220207254,2701,7,0,0,0,0,0
"4965",0.188090595,63,0,0.321279787,6000,3,0,2,0,6,0
"4966",0.055615575,35,0,0.097317114,6000,9,0,0,0,1,0
"4968",0.068998673,62,0,0.134995781,10666,4,0,1,0,1,0
"4972",0.9999999,47,0,0.362674726,2646,2,1,0,0,1,0
"4975",0.837263383,46,0,0.433094484,6000,8,0,2,1,0,0
"4979",0.01475941,68,0,0.373339338,4440,6,0,2,0,0,0
"4987",0.045428054,36,0,0.351272016,1021,6,0,0,0,0,0
"4988",0,32,0,0.739015817,1137,8,0,1,0,0,0
"4990",0.07559622,42,1,0.568886223,5000,20,0,2,0,0,0
"4995",0.346379648,50,0,0.236690891,11833,10,0,2,0,1,0
"4996",0.297996096,50,1,0.381981154,4350,12,0,2,0,2,0
"5001",0.769007248,70,0,0.556475125,10632,16,0,3,0,0,0
"5002",0.310668933,69,0,0.181353506,4890,3,0,0,0,0,0
"5004",0.543682021,63,2,0.561803445,1973,6,0,1,0,0,0
"5014",0.202986038,41,0,0.250071998,10416,6,0,1,0,2,0
"5018",0.01143739,85,0,0.046563193,450,5,0,0,0,0,0
"5019",0.890097184,36,0,0.367380903,4806,3,0,0,0,0,0
"5022",0.033349925,49,0,0.215040135,7100,5,0,1,0,0,0
"5024",0.256752068,44,0,0.743496208,10416,10,0,3,0,3,0
"5027",0.704941197,50,0,0.91683629,3438,12,0,1,0,3,0
"5030",0.045626547,63,0,0.011144215,97000,20,0,1,0,2,0
"5034",0.675953383,40,0,0.462222222,3599,10,0,1,0,0,0
"5036",0.519800077,35,1,0.618531664,5352,8,0,2,0,3,0
"5037",0.461473569,57,0,0.6172,7499,10,0,3,0,0,0
"5054",0.118222044,54,0,0.625458181,3000,8,0,1,0,0,0
"5056",0.104620566,34,2,0.165922144,4700,8,0,0,0,0,0
"5065",0.37514053,27,0,0.448443302,3500,10,0,1,0,0,0
"5071",0.10693263,42,0,0.186856174,7668,8,0,1,0,3,0
"5072",0.225214856,81,0,0.148388129,12500,15,0,1,0,0,0
"5073",0.384446412,62,0,0.573550414,3500,5,0,2,0,0,0
"5074",0.13535159,38,0,0.574224425,11700,13,0,2,0,0,0
"5079",0.118841282,38,0,2.06993007,1000,9,0,2,0,2,0
"5082",0,25,0,1.112097669,900,2,0,1,0,0,0
"5085",0.020259595,67,0,0.005076142,6500,6,0,0,0,0,0
"5087",0.183517628,50,0,0.553116769,3416,6,0,1,0,1,0
"5098",0.010743358,57,0,0.228428809,4206,6,0,1,0,0,0
"5101",0.93235432,36,1,0.416373953,3700,4,0,0,1,3,0
"5103",0.68573015,46,0,0.474350433,1500,3,0,1,0,0,0
"5114",0.032370504,51,0,0.369437293,10875,8,0,4,0,2,0
"5115",0.540956611,63,0,0.42294726,17500,19,0,2,0,1,0
"5122",0.192000702,34,0,0.86011657,1200,7,0,0,0,1,0
"5124",0.945005499,58,0,0.595653913,7500,11,0,2,0,1,0
"5135",0.78287276,32,2,0.34326182,4800,14,0,0,0,1,0
"5136",0.9066947,38,0,0.402838252,6200,6,0,0,0,4,0
"5139",0.058408224,52,0,0.297888976,8952,15,0,1,0,0,0
"5146",0.129358046,41,0,0.372531373,20000,12,0,2,0,1,0
"5150",0.209186065,39,0,0.398435236,3450,3,0,1,0,1,0
"5158",0.953370953,32,0,0.407847576,5300,7,0,2,0,2,0
"5161",0.005945143,38,0,0.355647302,3390,7,0,1,0,3,0
"5162",0.957069997,61,0,0.696871977,3100,7,0,2,0,0,0
"5166",0.017890321,79,0,0.093151141,6000,17,0,0,0,1,0
"5169",0.041091746,44,0,0.017818444,4152,7,0,1,0,0,0
"5174",0.036768001,68,0,0.1739221,4800,6,0,1,0,0,0
"5184",0.935412917,41,0,0.418776033,3120,5,0,2,0,0,0
"5186",0.193598681,40,0,0.218363589,3800,11,0,0,0,1,0
"5188",0.067918421,52,0,0.155873283,10700,13,0,1,0,1,0
"5195",0.19503515,57,0,0.225493952,18270,9,0,1,0,1,0
"5207",0.274999179,60,0,0.252365012,6870,5,0,1,0,1,0
"5222",0.332913846,58,0,0.403734707,3105,10,0,0,0,0,0
"5223",0.00411758,41,2,0.866853259,2500,9,0,2,0,0,0
"5230",0.203989264,37,2,0.599910461,6700,6,0,2,0,2,0
"5240",0.003407542,66,0,0.018396321,5000,7,0,0,0,0,0
"5245",0.067568787,91,0,0.017757159,6250,4,0,0,0,0,0
"5247",0.9999999,29,1,0,2000,1,0,0,0,2,0
"5255",0.178903425,52,0,0.069824669,3250,8,0,0,0,1,0
"5257",0.466289043,42,2,11887,0,9,0,2,0,1,0
"5258",0,43,0,0.282291875,5008,4,0,1,0,4,0
"5264",0.929512859,34,0,0.441821505,6565,8,0,1,0,0,0
"5267",0.324517776,34,0,1.154993515,3083,11,0,2,0,1,0
"5269",0.9999999,45,0,1.033251663,2856,2,0,1,0,0,0
"5276",0.204052056,35,0,0.352851453,11800,4,0,2,0,0,0
"5280",0.301975842,28,0,0.569892473,650,4,0,0,0,0,0
"5285",0.704779854,30,0,0.84498094,2360,9,0,1,0,0,0
"5291",0.729187701,52,0,0.60408666,13800,14,0,2,0,3,0
"5303",0.120760833,38,0,0.229732667,4600,5,0,1,0,4,0
"5312",0.9999999,46,0,0.165834166,1000,2,2,0,0,0,0
"5316",0.003411196,69,0,0.037447737,5500,9,0,0,0,0,0
"5319",0.732660667,44,2,0.14041952,9200,15,0,1,0,0,0
"5323",0.013299778,66,0,2.34717608,601,9,0,1,0,0,0
"5324",0.025655592,44,0,0.437427095,6000,8,0,1,0,0,0
"5337",0.008624641,44,0,0.497200448,6250,13,1,2,0,0,0
"5341",0.029816467,68,0,0.175139978,4464,12,0,1,0,1,0
"5344",0.292533493,39,0,0.356876648,11000,10,0,2,0,0,0
"5346",0.037701619,37,0,0.403625223,3916,14,0,1,0,1,0
"5347",0.357099148,62,0,1.776149234,1500,10,0,2,0,0,0
"5349",0.0771958,62,5,2176,0,28,0,1,1,0,0
"5350",0.662063187,44,1,0.384286311,9583,11,0,2,0,3,0
"5353",0.012998375,61,0,0.087228193,4000,2,0,0,0,1,0
"5364",0.015314531,71,0,0.060470431,10500,15,0,1,0,0,0
"5365",0.006403911,61,1,0.264129982,7200,9,0,2,0,0,0
"5366",0.071267557,55,0,0.36854576,10128,6,0,2,0,1,0
"5368",0.9999999,44,0,0,2176,0,0,0,0,0,0
"5369",0.052044894,86,0,0.012688822,6619,10,0,0,0,1,0
"5371",0.136166917,33,0,0.260869565,6600,11,0,1,0,0,0
"5373",0,61,0,0.00951912,6092,3,0,0,0,2,0
"5376",0.15579221,34,0,0.268481486,7750,8,0,1,0,0,0
"5381",0.037055944,51,0,0.385630718,6666,16,0,1,0,0,0
"5382",0.878580101,52,2,0.597938144,4170,7,0,1,0,2,0
"5395",0.194963133,65,0,0.298078909,9681,16,0,1,0,0,0
"5398",0.008967287,45,0,0.382420844,6063,6,0,2,0,0,0
"5400",0.678957236,29,1,0.111077844,3339,6,0,0,0,0,0
"5406",0.016149193,35,0,0.688237608,5083,5,0,2,0,0,0
"5417",0.147526694,59,0,0.324150189,4500,6,0,1,0,0,0
"5427",0.229218175,53,0,2.016983017,1000,4,0,3,0,1,0
"5428",0.56832965,42,0,0.562079622,5500,10,0,1,0,2,0
"5432",0,72,0,0,3370,1,0,0,0,0,0
"5444",0.010553208,65,0,0.549725137,2000,19,0,1,0,0,0
"5447",0.16536001,71,0,0.349833333,5999,11,0,2,0,0,0
"5451",0.484030019,38,0,0.672321059,4833,8,0,1,0,2,0
"5452",0.235708251,52,0,0.289529251,8050,7,0,1,0,2,0
"5459",0.152395353,45,0,0.290628571,8749,15,0,1,0,7,0
"5463",0.035627442,51,0,0.282819117,9917,7,0,1,0,2,0
"5467",0.014174482,74,0,0.037446286,3257,9,0,0,0,1,0
"5469",0.166654229,37,0,0.12574994,8333,14,0,0,0,0,0
"5470",0,67,0,0.863424384,1500,11,0,2,0,0,0
"5474",0.628189745,43,0,0.135154437,5600,4,0,0,0,1,0
"5478",0.9999999,31,0,0.004126547,726,3,0,0,0,0,0
"5479",0,56,0,0.02309769,10000,3,0,0,0,1,0
"5491",0.715592219,52,0,0.128340788,18333,7,0,1,0,4,0
"5494",0.109897385,33,0,0.597600267,9000,14,0,3,0,0,0
"5503",0.393000574,29,0,0.136137891,3422,4,0,0,0,1,0
"5510",0.02789927,64,0,0.004565725,9417,4,0,0,0,0,0
"5511",0.4308024,43,0,0.67537415,7349,17,0,1,0,3,0
"5515",0,65,0,0.073490378,6027,4,0,0,0,1,0
"5516",0.000848433,48,0,0.332261981,14000,10,0,3,0,1,0
"5520",0,53,0,0.269258459,4166,4,0,1,0,0,0
"5527",0.025887011,82,1,0.016198704,925,1,0,0,0,0,0
"5531",0.016666317,72,0,0.003598248,6391,2,0,0,0,0,0
"5532",0.097763694,68,0,0.340909091,7083,20,0,2,0,0,0
"5534",0.9999999,28,98,0,1400,0,98,0,98,0,0
"5541",0.197629177,60,0,0.486359092,7000,14,0,1,0,1,0
"5547",0.776087357,48,1,0.417791104,2000,5,0,1,0,4,0
"5577",0.007205529,39,0,0.548619448,3331,9,0,2,0,3,0
"5589",1.004266098,49,2,0.241970021,1400,5,1,0,0,0,0
"5590",0.566394481,52,0,0.306627102,13142,13,0,2,0,2,0
"5597",0.097218622,45,0,0.950146628,3750,5,0,1,0,2,0
"5606",0.015184414,61,0,0.505744192,3916,7,0,2,0,0,0
"5610",0,59,0,0.523492169,3000,8,0,2,0,1,0
"5614",0.042750146,71,0,0.41732146,5726,8,0,1,0,2,0
"5620",0.019599564,65,0,0.030993801,5000,6,0,0,0,0,0
"5630",0.386376885,64,0,0.368927624,13194,16,0,2,0,3,0
"5637",0,74,0,0.024195161,5000,4,0,0,0,2,0
"5642",0.756899693,51,0,0.456517638,5300,7,0,1,0,1,0
"5645",0.19700582,48,0,0.276890683,11397,17,0,2,0,0,0
"5646",0,58,0,0.067784149,6800,5,0,1,0,0,0
"5649",0.301347611,74,0,0.712595908,6255,21,0,2,0,0,0
"5650",0.15705446,34,0,0.14969049,3553,7,0,0,0,2,0
"5652",0.475226239,30,0,0.260561109,3100,4,0,0,0,0,0
"5657",0.321438591,64,4,0.565317255,13931,20,0,4,0,1,0
"5676",0.736767173,63,0,0.25754818,18679,12,0,3,0,1,0
"5677",0.413411545,47,1,0.10775138,12500,7,0,1,0,3,0
"5682",0.005642143,69,0,0.284219002,1241,8,0,0,0,0,0
"5688",0.007910935,60,0,0.257909605,7079,11,0,3,0,0,0
"5690",0.195549609,62,0,0.955608878,1666,6,0,1,0,1,0
"5696",0.023340284,40,2,0.312110062,6250,11,0,3,0,0,0
"5706",0.201760689,62,0,0.383776414,4400,14,0,0,0,0,0
"5715",0.00582514,36,0,0.420352391,8342,8,0,2,0,3,0
"5716",0.206812203,41,0,1.132419113,14000,10,0,4,0,3,0
"5720",0.087787617,53,0,0.161337361,9600,5,0,1,0,0,0
"5723",0.078127436,36,1,0.271186441,6548,8,0,1,0,2,0
"5725",0.791520848,49,0,0.829931973,1910,6,1,1,0,0,0
"5726",0.122247235,59,0,0.302848576,2000,8,0,0,0,3,0
"5732",0.32227516,63,0,0.52864283,2600,9,0,0,0,0,0
"5737",0,44,0,0.098300131,13000,7,0,1,0,2,0
"5745",0.688665867,34,0,1.034152436,2400,12,0,1,0,3,0
"5761",0.070958657,70,0,0.815096465,7100,11,0,4,0,0,0
"5764",0,47,0,0.34047415,3500,5,0,1,0,2,0
"5776",0.457405679,28,0,0.070686071,1442,2,0,0,0,0,0
"5780",0.950784459,45,0,0.579497545,17314,12,0,4,0,0,0
"5781",0.021586616,52,0,0.101870851,8284,3,0,1,0,0,0
"5784",0.017448035,63,0,0.002551548,14500,4,0,0,0,1,0
"5786",0.016349183,47,0,0.13047277,10300,3,0,2,0,2,0
"5794",0.015886876,38,0,0.398260174,10000,7,0,1,0,1,0
"5796",0.849908336,34,0,0.201388889,9791,7,0,0,0,3,0
"5800",0.018877082,57,0,0.352700553,13200,15,0,2,0,2,0
"5813",0.066538724,45,0,0.274700026,7833,6,0,2,0,4,0
"5818",0.249221978,34,0,0.054054054,2700,3,0,0,0,0,0
"5825",0.342397703,73,0,0.296387365,5286,6,0,1,0,0,0
"5835",0.019592163,24,0,0.601616628,865,3,0,0,0,0,0
"5842",0.829496302,48,0,0.624791736,3000,5,0,1,0,0,0
"5843",0.657675444,65,0,0.519136408,3056,4,0,1,0,0,0
"5855",0.067512585,43,0,0.44723563,9115,4,0,2,0,0,0
"5856",0.00202421,41,0,0.330946797,8100,6,0,2,0,2,0
"5859",0,54,0,0.231256742,7415,6,0,1,0,0,0
"5860",0.022818841,79,0,0.010179967,5500,9,0,0,0,0,0
"5862",0.054348641,66,0,0.024065161,2700,2,0,0,0,0,0
"5863",0.073567646,64,0,0.341530864,10124,11,0,3,0,1,0
"5871",0.09914542,59,2,0.30308417,11250,9,0,2,0,2,0
"5874",0.128314223,72,0,0.022853878,7000,24,0,0,0,0,0
"5876",0.173046657,62,0,0.24120479,8100,8,0,1,0,0,0
"5879",0.137505,48,0,0.286185691,6666,5,0,1,0,0,0
"5883",0.278452233,36,0,0.892906815,2875,8,0,2,0,0,0
"5884",0.100713119,51,0,0.219898342,12000,7,0,2,0,2,0
"5888",0,39,0,0.688022852,4900,5,0,1,0,1,0
"5894",0.018410333,33,0,0.004951909,10500,13,0,0,0,0,0
"5895",0.800847163,43,2,0.703218391,4349,6,0,1,0,1,0
"5911",0.479677774,61,0,0.727349545,10650,13,0,2,0,0,0
"5913",0.202115471,69,0,0.270768547,4501,17,0,0,0,0,0
"5916",0.26929576,62,0,0.519328179,3750,16,0,1,0,3,0
"5919",0.028047149,56,0,0.274523641,2833,11,0,1,0,0,0
"5922",0.011881082,64,0,0.390145204,4200,3,0,2,0,0,0
"5929",0.12652392,52,0,0.190521934,6245,7,0,2,0,3,0
"5935",0.025690332,69,0,0.699127907,1375,6,0,0,0,0,0
"5939",0.252654915,72,0,0.296378583,4500,13,0,0,0,0,0
"5940",0.057486935,32,0,0.326557814,3000,4,0,1,0,1,0
"5941",0,42,0,0.141364039,16934,3,0,1,0,2,0
"5942",0.433637662,30,0,0.227060653,2571,8,1,0,0,0,0
"5944",0.320529276,39,1,0.708925263,6475,14,0,3,0,2,0
"5947",0.162305772,59,0,0.370924923,9416,12,0,1,0,2,0
"5949",0.016619686,57,0,0.316504031,2356,17,0,2,0,0,0
"5965",0.534900495,37,0,0.633517495,3800,10,0,2,0,1,0
"5968",0.904327654,55,1,2160,0,17,0,0,0,2,0
"5997",0.150983091,45,0,0.604739526,10000,7,0,3,0,3,0
"5999",0.036671782,63,0,0.30102745,6520,5,0,1,0,2,0
"6004",0.162398374,77,0,0.15496126,4000,19,0,0,0,0,0
"6005",0.039302639,39,0,2688,0,4,0,2,0,3,0
"6010",0.479591279,48,3,0.307735743,7083,8,0,1,0,1,0
"6011",0.058365169,61,0,0.01772347,9083,11,0,0,0,0,0
"6012",0.02980549,61,0,0.392353844,7166,6,0,2,0,0,0
"6014",0.405007983,38,0,0.119012759,4780,7,0,0,0,0,0
"6015",0.08878877,31,0,0.506311711,8000,15,0,2,0,1,0
"6020",0.008653153,60,0,0.037354967,10600,5,0,0,0,0,0
