"","y","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"4279",1,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
"3738",1,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
"1408",1,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
"3420",1,6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,7
"1034",1,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
"3199",1,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
"3145",1,6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6
"310",1,8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7
"653",1,6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6
"1481",1,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6
"3166",1,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
"4098",1,9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
"964",1,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
"3454",1,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6
"3277",1,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
"2313",1,5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5
"626",1,6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6
"2260",1,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"1819",1,6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5
"4441",1,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
"3857",1,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
"1212",1,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
"1677",1,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
"3405",1,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
"2594",1,6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6
"4560",1,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
"2617",1,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
"2635",1,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5
"857",1,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
"1001",1,5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6
"4750",1,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"2914",1,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,6
"4003",1,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
"3433",1,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
"2018",1,7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
"1248",1,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
"2418",1,7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
"4561",1,7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5
"2988",1,6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7
"1718",1,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
"194",1,7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5
"3880",1,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6
"2028",1,6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
"1777",1,6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6
"894",1,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
"1148",1,6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5
"1672",1,5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14,6
"371",1,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5
"4886",1,7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,6
"1997",1,7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6
"1490",1,6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4,6
"692",1,7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,6
"423",1,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
"1537",1,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
"1029",1,8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"922",1,7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6
"2031",1,5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6
"3591",1,5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,6
"4027",1,6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,5
"58",1,6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6
"667",1,7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5
"2526",1,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
"335",1,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
"3610",1,6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
"1622",1,6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7
"4529",1,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
"2076",1,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
"3059",1,6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5
"605",1,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7
"4000",1,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
"1506",1,7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5
"1710",1,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6
"4825",1,6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6
"245",1,6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6
"3301",1,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
"3613",1,6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6
"4712",1,5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6
"4523",1,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"1816",1,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
"2048",1,6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.0666666666667,6
"1399",1,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
"2717",1,6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
"3912",1,5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5
"2748",1,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
"412",1,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5
"2502",1,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
"4858",1,8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
"26",1,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
"3053",1,6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
"1059",1,6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
"1361",1,8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,6
"3743",1,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
"2643",1,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
"2873",1,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
"325",1,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
"15",1,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
"2511",1,6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5
"2259",1,7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,5
"67",1,6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6
"42",1,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7
"744",1,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
"2675",1,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"645",1,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
"740",1,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"2653",1,6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
"3535",1,5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6
"560",1,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6
"4444",1,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
"6",1,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
"805",1,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6
"91",1,9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6
"1507",1,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
"2822",1,7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,6
"1908",1,7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,6
"4072",1,6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6
"865",1,7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5
"4113",1,7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5
"725",1,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
"2361",1,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
"1923",1,6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,6
"3474",1,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
"1769",1,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
"3568",1,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
"1920",1,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"4052",1,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4
"838",1,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
"475",1,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
"3867",1,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
"4751",1,5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
"3341",1,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4
"984",1,7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6
"399",1,6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5
"4720",1,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
"2879",1,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,6
"4768",1,6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
"453",1,7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7
"1856",1,8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,7
"3353",1,6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
"1562",1,6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
"4079",1,6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
"3846",1,6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6
"4176",1,6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6
"4732",1,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
"2508",1,9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6
"1956",1,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
"2722",1,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
"4220",1,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
"2269",1,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
"1418",1,6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6
"3127",1,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
"2388",1,6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,6
"1363",1,6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,6
"3275",1,6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,7
"1784",1,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5
"3842",1,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5
"4006",1,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
"3547",1,8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5
"1246",1,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
"3631",1,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
"2532",1,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
"3520",1,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
"3129",1,7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
"3761",1,7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
"437",1,6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6
"3942",1,6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
"1177",1,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
"2469",1,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
"2233",1,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
"3587",1,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
"4230",1,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
"4471",1,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7
"3264",1,5.9,0.5,0.05,2.6,0.054,36,146,0.9948,3.43,0.5,9.2,6
"1743",1,6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
"3242",1,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6
"2433",1,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
"2013",1,7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5
"4623",1,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
"1093",1,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
"2757",1,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
"2808",1,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
"4062",1,6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,6
"9",1,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"212",1,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.1333333333333,7
"4119",1,8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
"1679",1,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
"2959",1,6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7
"4541",1,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
"830",1,6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6
"2268",1,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
"1921",1,8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6
"2772",1,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
"215",1,7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6
"2870",1,6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,6
"2506",1,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
"4218",1,7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
"3479",1,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
"3894",1,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
"3778",1,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
"4371",1,8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
"536",1,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
"1462",1,7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
"1632",1,6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
"1996",1,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
"1674",1,6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
"4326",1,6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,7
"125",1,7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5
"99",1,6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5
"2277",1,7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,6
"2894",1,7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6
"1578",1,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6
"396",1,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4
"3355",1,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"4507",1,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5
"4653",1,7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
"1008",1,5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6
"4263",1,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
"4690",1,7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6
"1759",1,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
"2364",1,6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5
"4245",1,6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7,6
"1435",1,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"2065",1,6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
"2406",1,9.4,0.3,0.32,10.7,0.029,14,111,0.9958,2.85,0.42,10.6,5
"2045",1,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5
"854",1,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
"581",1,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
"3769",1,5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6
"121",1,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
"4479",1,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
"1922",1,7,0.22,0.39,2.1,0.055,39,198,0.9951,3.52,0.54,10.2,6
"1960",1,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
"3491",1,5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
"834",1,6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
"4693",1,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6
"3190",1,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"4356",1,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
"1190",1,7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6
"675",1,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,3
"3105",1,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5
"1039",1,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
"1378",1,6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,6
"4332",1,6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,6
"488",1,6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
"2607",1,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
"2943",1,6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
"3752",1,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
"3195",1,7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6
"144",1,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5
"965",1,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.9666666666667,7
"977",1,6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
"250",1,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
"2239",1,5.7,0.25,0.22,9.8,0.049,50,125,0.99571,3.2,0.45,10.1,6
"2896",1,6.8,0.33,0.28,1.2,0.032,38,131,0.9889,3.19,0.41,13,6
"874",1,6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5,5
"3986",1,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
"4657",1,8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
"2982",1,5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,6
"4772",1,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
"3959",1,7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
"2680",1,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6
"1368",1,5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6
"1676",1,8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5
"1018",1,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5
"219",1,5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5
"2941",1,5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7
"810",1,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
"4849",1,7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
"4609",1,6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
"2104",1,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
"1082",1,6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7
"4420",1,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5
"17",1,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"1315",1,6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
"4487",1,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"4567",1,8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6
"3734",1,6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6
"4215",1,7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5
"1355",1,8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7
"2803",1,6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,6
"4053",1,6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6
"711",1,6.4,0.15,0.25,7.8,0.05,13,68,0.99394,3.16,0.4,9.9,6
"4068",1,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
"4652",1,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
"2000",1,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
"3916",1,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
"4692",1,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
"3878",1,5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6
"4092",1,6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
"4587",1,6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6
