"","y","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"287",1,"GP","M",17,"R","GT3","T",2,1,"other","other","course","mother",1,1,0,"no","no","no","no","no","yes","yes","no",4,4,2,2,4,5,0,12,12,13
"160",1,"GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"no","yes","no","no","no","yes","yes","no",4,3,2,1,1,5,6,13,12,13
"67",1,"GP","M",15,"U","GT3","A",4,4,"other","services","reputation","mother",1,4,0,"no","yes","no","yes","no","yes","yes","yes",1,3,3,5,5,3,0,11,12,12
"314",1,"GP","F",18,"U","LE3","T",1,1,"other","other","home","mother",2,2,0,"no","yes","no","no","no","yes","no","no",4,4,3,1,1,3,2,13,13,13
"503",1,"MS","M",17,"R","LE3","T",2,2,"services","services","other","mother",3,4,1,"no","yes","no","no","yes","yes","no","no",1,3,5,3,5,3,2,10,8,9
"490",1,"MS","M",18,"R","GT3","T",1,1,"other","other","home","mother",2,1,1,"no","no","no","yes","yes","no","yes","no",4,4,3,3,4,4,0,8,9,10
"128",1,"GP","F",19,"U","GT3","T",0,1,"at_home","other","course","other",1,2,2,"no","yes","no","no","no","no","no","no",3,4,2,1,1,5,0,9,10,11
"381",1,"GP","F",17,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,1,3,4,0,13,12,13
"297",1,"GP","M",18,"U","GT3","T",2,1,"other","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,2,4,1,2,4,2,16,16,16
"184",1,"GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",4,4,2,1,1,3,0,16,16,17
"72",1,"GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,0,"no","no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,11,9,10
"606",1,"MS","F",19,"U","GT3","T",1,1,"at_home","services","other","father",2,1,1,"no","no","no","no","yes","no","no","no",5,5,5,2,3,2,0,5,0,0
"378",1,"GP","M",18,"U","GT3","T",4,4,"other","other","course","mother",1,3,0,"no","no","no","yes","yes","yes","yes","no",4,3,3,2,2,3,0,13,14,13
"116",1,"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,1,2,5,6,16,14,14
"296",1,"GP","M",19,"U","LE3","A",4,3,"services","at_home","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,1,1,1,1,4,11,13,14
"4",1,"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,14,14,14
"299",1,"GP","F",17,"U","LE3","T",2,2,"services","services","course","father",1,4,0,"no","no","no","yes","yes","yes","yes","yes",3,4,1,1,1,2,2,10,11,12
"81",1,"GP","M",15,"U","GT3","T",2,3,"other","services","course","father",1,1,0,"yes","yes","no","yes","no","yes","yes","yes",3,2,2,1,3,3,0,11,11,12
"538",1,"MS","M",15,"U","LE3","A",2,1,"services","services","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",4,3,3,1,2,5,11,12,13,12
"443",1,"MS","M",15,"R","LE3","T",4,1,"health","services","reputation","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,4,1,2,2,0,12,13,14
"55",1,"GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",5,3,4,4,4,1,0,13,12,13
"364",1,"GP","F",18,"U","GT3","T",3,4,"other","other","course","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","yes",5,4,4,1,1,1,4,11,12,14
"366",1,"GP","F",17,"U","GT3","A",4,3,"services","services","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",5,2,2,1,2,5,14,15,14,17
"73",1,"GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,0,"yes","yes","no","no","no","yes","yes","yes",3,3,4,2,4,5,2,13,11,11
"170",1,"GP","M",17,"R","LE3","T",1,2,"other","other","reputation","mother",1,1,3,"no","no","no","no","yes","yes","no","no",2,2,2,3,3,5,14,9,8,10
"146",1,"GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,0,"no","yes","no","yes","no","yes","yes","yes",4,3,2,1,1,5,4,9,9,10
"383",1,"GP","F",17,"U","GT3","T",3,3,"at_home","other","course","mother",1,1,0,"no","yes","yes","yes","yes","yes","yes","no",4,2,5,2,5,5,2,11,12,11
"469",1,"MS","M",15,"U","GT3","T",2,2,"health","other","reputation","mother",3,1,0,"no","no","no","no","yes","yes","no","no",4,3,3,1,2,4,1,13,12,13
"199",1,"GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",1,2,2,1,2,1,8,14,15,16
"167",1,"GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,0,"no","yes","no","no","yes","no","yes","yes",4,5,4,1,1,4,6,11,9,11
"497",1,"MS","F",16,"R","LE3","T",1,1,"services","services","home","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,4,2,2,4,2,14,14,14
"242",1,"GP","M",17,"U","LE3","T",2,3,"services","services","reputation","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,3,3,0,10,11,11
"214",1,"GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,5,2,1,2,3,0,11,10,11
"166",1,"GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,0,"no","yes","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,2,13,13,13
"615",1,"MS","F",17,"R","GT3","T",4,4,"teacher","services","other","father",2,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,2,5,2,12,12,12
"343",1,"GP","F",18,"U","LE3","T",4,3,"other","other","home","other",2,2,0,"no","yes","no","no","yes","yes","yes","yes",4,4,5,1,2,2,0,13,14,14
"144",1,"GP","F",18,"U","GT3","A",3,2,"other","services","course","other",1,3,0,"no","yes","no","yes","no","yes","yes","yes",4,3,3,5,1,5,10,12,11,11
"447",1,"MS","M",15,"U","LE3","T",3,3,"at_home","at_home","reputation","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,5,0,11,11,11
"359",1,"GP","F",18,"U","LE3","T",4,3,"health","services","course","mother",2,1,0,"no","yes","no","no","yes","yes","yes","no",3,2,4,1,4,1,8,12,12,15
"621",1,"MS","F",17,"U","LE3","T",4,4,"at_home","at_home","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",2,3,4,1,1,1,4,15,14,15
"593",1,"MS","F",17,"U","GT3","T",3,3,"services","services","course","mother",2,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,3,1,1,4,0,11,12,13
"603",1,"MS","F",18,"U","LE3","T",2,2,"services","services","course","father",2,3,0,"no","no","no","no","yes","yes","yes","yes",5,4,5,1,4,3,0,11,12,13
"173",1,"GP","M",16,"U","GT3","T",3,3,"other","services","course","father",1,2,1,"no","yes","no","no","yes","yes","yes","yes",4,5,5,4,4,5,0,10,10,1
"147",1,"GP","M",16,"U","LE3","T",1,1,"services","other","course","mother",1,2,2,"no","no","no","no","yes","yes","no","yes",4,4,4,1,3,5,0,10,10,10
"430",1,"MS","M",16,"R","LE3","A",4,4,"at_home","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",5,3,2,1,3,2,5,10,11,11
"27",1,"GP","M",15,"U","GT3","T",2,2,"other","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,2,5,8,11,12,12
"581",1,"MS","M",19,"R","GT3","T",1,1,"other","other","home","other",3,1,1,"no","yes","no","no","yes","yes","yes","no",4,4,4,3,3,5,4,8,9,10
"611",1,"MS","F",19,"R","GT3","A",1,1,"at_home","at_home","course","other",2,2,3,"no","yes","no","yes","yes","no","no","yes",3,5,4,1,4,1,0,8,0,0
"168",1,"GP","F",17,"U","GT3","T",4,4,"other","teacher","course","mother",1,1,0,"yes","yes","no","no","yes","yes","no","yes",4,2,1,1,1,4,0,13,13,13
"630",1,"MS","F",17,"R","GT3","T",1,2,"other","other","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,5,5,1,3,1,4,7,8,9
"56",1,"GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,2,12,13,12
"157",1,"GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,4,2,1,2,5,0,12,12,12
"302",1,"GP","M",18,"U","GT3","T",4,3,"teacher","other","course","mother",1,2,0,"no","yes","no","no","no","yes","yes","no",4,3,2,1,1,3,2,10,10,11
"135",1,"GP","F",17,"U","LE3","T",2,2,"other","other","course","father",1,1,0,"no","yes","no","no","yes","yes","yes","yes",3,4,4,1,3,5,2,13,12,12
"641",1,"MS","M",18,"R","GT3","T",4,2,"other","other","home","father",2,1,1,"no","no","yes","no","yes","yes","no","no",5,4,3,4,3,3,0,7,7,0
"640",1,"MS","M",19,"R","GT3","T",1,1,"other","services","other","mother",2,1,1,"no","no","no","no","yes","yes","no","no",4,3,2,1,3,5,0,5,8,0
"217",1,"GP","F",17,"U","GT3","T",1,1,"other","other","course","mother",1,2,0,"no","yes","no","no","no","yes","no","no",4,4,4,1,3,1,0,14,15,15
"303",1,"GP","M",18,"R","GT3","T",3,2,"other","other","course","mother",1,3,0,"no","no","no","yes","no","yes","no","no",5,3,2,1,1,3,2,10,11,12
"64",1,"GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"yes","yes","no","yes","yes","yes","yes","no",3,4,4,2,4,4,0,14,13,13
"100",1,"GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"yes","yes","no","no","yes","yes","yes","no",5,3,5,1,1,3,2,12,13,13
"637",1,"MS","M",18,"U","GT3","T",4,4,"teacher","teacher","home","father",1,2,0,"no","no","no","yes","no","yes","yes","no",3,2,4,1,4,2,4,17,18,19
"227",1,"GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",3,3,4,1,1,4,0,13,13,13
"88",1,"GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,1,4,15,15,15
"368",1,"GP","F",17,"U","LE3","T",2,1,"other","other","home","father",1,2,0,"no","no","no","yes","yes","yes","yes","no",4,2,3,2,2,2,2,11,12,14
"117",1,"GP","M",15,"U","GT3","T",4,4,"other","teacher","reputation","father",2,2,0,"no","yes","no","yes","yes","yes","no","no",4,4,3,1,1,2,4,16,15,16
"531",1,"MS","M",17,"U","GT3","T",3,3,"services","services","home","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",4,1,4,5,5,3,8,7,10,9
"627",1,"MS","F",18,"R","GT3","T",4,4,"other","teacher","other","father",3,2,0,"no","yes","no","no","no","yes","yes","yes",3,2,2,4,2,5,0,7,5,0
"479",1,"MS","F",16,"R","GT3","T",1,1,"at_home","other","course","father",2,2,3,"yes","yes","no","no","yes","yes","no","no",3,4,3,1,1,1,0,7,7,8
"300",1,"GP","F",20,"R","GT3","T",2,1,"other","other","course","other",2,2,0,"no","yes","yes","yes","yes","no","yes","yes",1,2,3,1,2,2,8,10,12,12
"433",1,"MS","F",17,"R","GT3","T",1,1,"other","other","other","father",1,1,1,"no","yes","no","no","no","no","yes","no",5,4,4,2,2,5,0,6,6,7
"420",1,"GP","M",19,"U","GT3","T",2,1,"other","other","reputation","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",5,3,4,1,4,4,10,7,11,11
"376",1,"GP","F",17,"U","LE3","T",0,2,"at_home","at_home","home","father",2,3,0,"no","no","no","no","yes","yes","yes","no",3,3,3,2,3,2,0,14,14,15
"140",1,"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,1,1,5,4,13,14,15
"155",1,"GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",3,4,4,3,3,1,4,10,11,11
"205",1,"GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,3,3,1,1,2,6,12,12,13
"219",1,"GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,0,"no","yes","no","yes","no","yes","yes","no",5,3,5,1,1,5,6,13,13,13
"78",1,"GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"no","no","no","no","yes","yes","yes","yes",5,2,3,1,3,3,1,13,13,13
"221",1,"GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,3,3,2,2,4,2,11,11,12
"335",1,"GP","M",18,"U","GT3","T",2,1,"services","services","reputation","mother",1,3,0,"no","no","no","yes","yes","yes","yes","no",4,2,4,1,3,2,0,14,15,15
"305",1,"GP","F",18,"U","GT3","T",2,2,"at_home","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,1,1,3,0,11,12,13
"328",1,"GP","F",18,"R","LE3","T",1,1,"at_home","other","reputation","mother",2,4,0,"no","yes","no","yes","yes","yes","no","no",5,2,2,1,1,3,2,17,17,18
"340",1,"GP","M",18,"R","LE3","T",3,2,"services","other","reputation","mother",2,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,1,4,0,14,15,15
"234",1,"GP","F",17,"U","GT3","T",2,2,"at_home","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,4,0,12,12,13
"2",1,"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,2,9,11,11
"46",1,"GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,0,"yes","yes","yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,4,10,11,11
"31",1,"GP","M",15,"U","GT3","T",4,4,"health","services","home","mother",1,2,0,"no","yes","yes","no","no","yes","yes","no",5,4,2,3,4,5,0,10,11,11
"442",1,"MS","M",17,"U","GT3","T",1,1,"other","other","home","mother",1,2,0,"no","no","yes","no","no","yes","yes","no",4,4,3,2,4,5,4,8,9,9
"385",1,"GP","M",19,"R","GT3","T",3,2,"at_home","services","home","other",1,1,0,"no","yes","no","no","no","yes","no","yes",5,3,4,2,2,5,0,11,10,10
"145",1,"GP","F",16,"R","GT3","T",1,1,"other","services","reputation","mother",2,1,0,"no","yes","no","yes","yes","yes","no","yes",3,3,3,1,2,1,8,12,11,11
"158",1,"GP","F",15,"U","LE3","A",2,1,"at_home","other","home","mother",2,1,0,"no","yes","no","yes","yes","no","yes","yes",4,4,2,1,1,5,0,11,10,10
"105",1,"GP","M",15,"U","GT3","A",3,4,"services","other","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,1,1,1,0,16,16,16
"284",1,"GP","M",16,"U","GT3","T",3,3,"at_home","other","reputation","other",3,2,1,"yes","yes","no","no","no","yes","yes","no",5,3,3,1,3,2,4,9,11,10
"164",1,"GP","M",18,"U","LE3","T",1,1,"other","other","course","mother",1,1,2,"no","no","no","no","yes","no","yes","yes",2,3,5,2,5,4,0,11,9,0
"177",1,"GP","M",15,"U","LE3","T",1,2,"other","other","course","mother",2,1,0,"no","no","no","yes","yes","yes","no","no",4,4,4,2,4,5,2,8,9,10
"459",1,"MS","F",16,"R","GT3","T",1,1,"other","other","home","father",4,4,0,"no","yes","no","no","no","yes","yes","no",4,3,2,1,1,1,0,13,10,13
"82",1,"GP","M",15,"U","GT3","T",2,3,"other","other","home","mother",1,3,0,"yes","no","no","no","no","yes","yes","no",5,3,2,1,2,5,2,10,9,9
"261",1,"GP","F",16,"U","GT3","T",1,2,"other","other","course","mother",1,1,0,"no","no","no","no","yes","no","yes","no",5,3,5,1,2,5,4,12,11,11
"257",1,"GP","M",18,"U","GT3","T",2,2,"other","at_home","course","other",1,1,1,"no","yes","no","yes","no","no","yes","yes",4,4,3,2,2,1,26,7,8,8
"365",1,"GP","F",17,"U","GT3","T",4,4,"health","health","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",5,3,4,1,2,5,2,14,15,17
"322",1,"GP","F",17,"U","GT3","T",2,2,"other","services","reputation","father",3,3,0,"no","yes","no","no","yes","yes","yes","yes",4,2,3,1,1,1,8,13,15,15
"401",1,"GP","M",18,"R","GT3","T",4,3,"teacher","services","course","mother",1,3,0,"no","no","no","no","yes","yes","yes","yes",5,3,2,1,2,4,4,15,14,17
"317",1,"GP","F",17,"U","GT3","T",2,4,"at_home","health","reputation","mother",2,2,0,"no","yes","no","no","yes","yes","yes","yes",4,3,3,1,1,1,6,15,16,16
"36",1,"GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"no","yes","no","yes","yes","yes","no","no",3,5,1,1,1,5,4,11,11,11
"445",1,"MS","M",16,"R","GT3","T",3,4,"other","health","other","mother",3,2,0,"no","no","no","no","no","yes","no","no",3,4,5,1,2,5,4,9,10,11
"245",1,"GP","F",17,"U","LE3","T",4,3,"health","other","reputation","father",1,2,0,"no","no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,0,14,12,12
"529",1,"MS","F",17,"R","GT3","T",2,2,"at_home","other","other","mother",1,1,0,"no","yes","yes","no","yes","yes","yes","no",5,1,3,1,2,5,5,9,9,9
"614",1,"MS","F",18,"U","GT3","T",3,3,"services","services","course","father",1,2,0,"no","yes","no","no","yes","yes","no","yes",5,3,4,1,1,5,0,10,10,10
"482",1,"MS","F",17,"R","GT3","T",2,1,"at_home","other","course","mother",3,1,0,"no","yes","no","yes","yes","no","no","yes",5,5,3,1,1,3,2,9,10,11
"204",1,"GP","M",17,"R","GT3","T",1,2,"at_home","other","home","mother",1,2,0,"no","no","no","no","yes","yes","no","no",3,1,3,1,5,3,6,9,9,10
"203",1,"GP","F",17,"U","GT3","A",3,3,"health","other","reputation","mother",1,2,0,"no","yes","no","no","no","yes","yes","yes",3,3,3,1,3,3,10,12,13,14
"608",1,"MS","F",17,"R","LE3","A",2,1,"services","other","reputation","mother",2,2,0,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,2,2,5,11,11,12
"639",1,"MS","M",17,"U","GT3","T",2,3,"other","services","home","father",2,2,0,"no","no","no","yes","yes","yes","yes","no",4,4,3,1,1,3,4,14,15,16
"362",1,"GP","M",19,"U","GT3","T",4,2,"health","other","course","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","yes",5,4,4,1,1,1,9,11,10,10
"577",1,"MS","M",18,"R","GT3","T",3,2,"other","other","course","mother",2,1,0,"no","yes","no","no","no","yes","yes","no",2,5,5,5,5,5,8,9,10,11
"369",1,"GP","M",18,"U","LE3","T",4,4,"other","other","reputation","father",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,2,5,3,4,5,2,8,9,11
"283",1,"GP","M",18,"U","GT3","T",3,2,"services","other","course","mother",2,1,0,"no","no","no","no","yes","no","yes","no",4,4,5,2,4,5,8,7,8,7
"295",1,"GP","F",18,"R","GT3","T",2,2,"other","other","home","mother",1,2,0,"yes","no","no","no","yes","yes","no","no",3,2,3,1,1,5,4,11,11,13
"440",1,"MS","F",15,"R","GT3","T",3,3,"other","services","course","father",2,1,0,"no","no","no","no","no","yes","yes","no",4,1,3,1,1,4,0,14,16,16
"278",1,"GP","F",17,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,4,1,2,5,4,11,10,11
"507",1,"MS","F",20,"U","GT3","T",3,3,"at_home","services","other","mother",2,2,1,"no","no","no","yes","yes","yes","yes","yes",3,3,4,2,4,3,8,11,9,10
"96",1,"GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,0,"yes","yes","yes","yes","yes","yes","yes","no",3,1,2,1,1,1,4,13,13,13
"404",1,"GP","F",17,"U","GT3","T",2,1,"services","other","course","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,4,2,2,1,10,12,15,15
"250",1,"GP","M",16,"U","GT3","T",3,2,"at_home","other","reputation","mother",2,3,0,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,3,2,0,12,12,12
"24",1,"GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,2,10,10,10
"636",1,"MS","F",17,"R","GT3","T",3,1,"at_home","other","reputation","mother",1,2,0,"no","yes","no","yes","no","yes","yes","no",4,5,4,2,3,1,10,8,9,9
"244",1,"GP","F",17,"U","GT3","A",2,1,"other","other","course","mother",2,3,0,"no","no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,0,15,15,16
"247",1,"GP","M",17,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","yes",4,5,5,1,3,2,0,13,13,13
"32",1,"GP","M",15,"U","GT3","T",4,4,"services","services","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,1,1,1,5,2,15,15,15
"272",1,"GP","F",17,"U","GT3","T",4,4,"teacher","services","course","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","yes",5,3,1,1,4,5,2,11,11,12
"450",1,"MS","F",15,"R","GT3","T",1,2,"other","services","course","mother",2,1,0,"no","no","no","no","yes","yes","no","no",5,1,2,1,1,1,3,11,13,13
"514",1,"MS","F",16,"U","GT3","T",3,1,"other","other","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,1,3,1,3,1,0,8,6,8
"370",1,"GP","F",19,"U","GT3","T",1,1,"other","other","course","other",3,3,0,"no","no","no","yes","yes","no","no","yes",1,5,5,4,3,5,12,10,10,11
"193",1,"GP","M",16,"R","GT3","T",4,2,"teacher","services","other","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,3,4,3,8,10,9,11
"175",1,"GP","M",17,"R","LE3","T",2,1,"at_home","other","course","mother",2,1,1,"no","no","yes","yes","yes","no","yes","yes",3,3,2,2,2,5,8,8,8,9
"29",1,"GP","M",16,"U","LE3","A",3,4,"services","other","home","mother",1,2,0,"yes","yes","yes","yes","yes","yes","yes","no",5,3,3,1,1,5,2,12,12,13
"298",1,"GP","M",17,"R","GT3","T",2,2,"other","services","other","mother",2,1,0,"no","no","no","no","no","no","no","no",5,2,2,1,1,4,0,9,10,10
"512",1,"MS","F",17,"U","GT3","A",1,0,"other","other","other","mother",2,2,0,"no","no","no","no","yes","yes","yes","yes",4,4,5,1,1,4,1,11,9,10
"526",1,"MS","M",17,"U","LE3","T",4,4,"other","services","home","mother",1,3,0,"no","yes","no","no","yes","yes","yes","no",4,4,3,1,2,5,0,15,14,16
"125",1,"GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","yes",5,4,4,1,1,5,0,12,11,11
"405",1,"GP","F",17,"U","GT3","T",2,1,"services","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,5,2,4,4,4,12,16,16
"21",1,"GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,1,1,1,1,0,12,13,14
"554",1,"MS","M",17,"U","LE3","A",1,0,"other","other","home","mother",1,1,0,"no","no","no","no","yes","yes","no","yes",4,1,2,1,1,5,4,11,11,12
"424",1,"MS","F",16,"U","GT3","T",1,3,"at_home","other","other","father",2,1,0,"no","yes","no","no","yes","no","yes","yes",4,3,3,1,3,5,11,10,11,11
"634",1,"MS","F",18,"R","LE3","T",4,4,"teacher","services","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,4,3,3,4,2,1,13,14,14
"646",1,"MS","F",18,"U","LE3","T",3,1,"teacher","services","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,4,1,1,1,4,15,15,16
"150",1,"GP","M",15,"U","GT3","T",4,3,"teacher","services","course","father",2,4,0,"yes","yes","no","no","yes","yes","yes","no",2,2,2,1,1,3,6,9,11,11
"530",1,"MS","F",16,"U","LE3","T",4,4,"services","services","other","father",2,1,0,"no","yes","no","no","yes","yes","no","no",5,1,3,1,2,5,1,11,11,11
"95",1,"GP","M",15,"U","LE3","T",2,2,"services","health","reputation","mother",1,4,0,"no","yes","no","yes","yes","yes","yes","no",4,3,4,1,1,4,2,11,12,12
"453",1,"MS","F",16,"R","GT3","T",2,2,"other","other","course","mother",3,2,0,"no","yes","no","no","yes","yes","yes","no",4,4,5,1,1,4,4,9,10,11
"337",1,"GP","M",18,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,2,1,4,5,2,15,16,16
"238",1,"GP","M",18,"U","GT3","T",2,2,"other","other","home","mother",2,2,3,"no","yes","yes","no","yes","yes","yes","no",3,3,3,5,5,4,9,10,9,10
"576",1,"MS","F",18,"R","GT3","A",4,3,"services","services","course","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",5,4,4,3,4,2,8,10,11,10
"93",1,"GP","F",16,"U","LE3","T",3,1,"other","other","home","father",1,2,0,"yes","yes","no","no","yes","yes","no","no",3,3,3,2,3,2,0,12,13,12
"578",1,"MS","M",19,"R","GT3","T",1,1,"other","services","home","other",3,2,1,"no","no","no","no","yes","yes","yes","no",5,4,4,3,3,2,8,10,9,11
"460",1,"MS","F",16,"R","GT3","T",1,1,"at_home","other","other","father",4,3,0,"yes","yes","no","no","yes","yes","no","no",4,4,3,1,1,5,2,10,9,10
"605",1,"MS","F",18,"U","GT3","T",1,1,"at_home","services","course","mother",3,2,1,"no","no","no","no","yes","no","no","no",4,4,2,1,2,2,2,9,10,10
"545",1,"MS","M",17,"R","LE3","T",1,3,"other","other","course","father",2,1,0,"no","no","no","yes","yes","yes","no","yes",5,1,2,3,3,5,2,12,11,12
"213",1,"GP","F",17,"U","GT3","T",4,4,"services","teacher","home","mother",2,1,1,"no","yes","no","no","yes","yes","yes","no",4,2,4,2,3,2,30,14,15,16
"129",1,"GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,5,5,2,5,4,8,14,14,15
"333",1,"GP","F",18,"U","GT3","T",2,2,"at_home","at_home","other","mother",1,3,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,2,2,0,18,18,18
"50",1,"GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,0,"yes","yes","no","yes","no","yes","yes","no",4,4,4,1,1,3,2,13,12,12
"509",1,"MS","M",17,"R","GT3","T",2,2,"other","other","course","mother",3,1,1,"no","yes","no","no","no","yes","yes","no",4,4,5,1,2,5,0,10,9,9
"468",1,"MS","F",16,"R","GT3","T",2,2,"other","services","course","father",3,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,4,1,1,2,1,14,13,14
"556",1,"MS","F",16,"R","GT3","T",1,2,"other","other","home","father",1,3,0,"yes","yes","no","no","no","yes","yes","yes",4,3,4,1,1,3,5,13,14,13
