"","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"2950","e","x","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2951","e","x","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d"
"2953","e","x","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2957","e","x","y","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2983","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"2990","e","f","f","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2992","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2995","e","x","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2998","e","x","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3000","e","x","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3026","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3034","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3043","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3051","e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3058","p","x","s","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3059","p","x","f","p","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3060","e","f","y","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3065","p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3067","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3074","p","x","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3077","e","f","f","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3083","p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3087","e","f","y","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3093","e","f","y","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3102","e","f","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3103","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","g"
"3104","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3115","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3120","p","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3124","e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3125","p","x","s","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3127","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3132","e","f","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3135","e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3136","e","f","y","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","d"
"3137","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3148","p","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3150","e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3152","e","f","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3159","e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3163","p","x","f","p","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3166","p","x","f","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3167","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3171","e","f","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3175","p","x","f","p","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3180","p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","g"
"3183","p","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3187","e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3191","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","g"
"3192","p","x","s","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3193","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3194","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","d"
"3197","e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3207","e","f","y","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3212","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3219","p","x","s","g","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3220","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3223","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3226","e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3229","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3230","e","f","f","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3235","e","x","y","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3241","e","f","y","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3248","e","x","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3253","e","f","y","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3255","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3257","e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","d"
"3259","p","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3261","e","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3269","p","x","s","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3285","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","d"
"3302","e","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","d"
"3304","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","v","d"
"3311","e","f","y","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3316","e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3339","e","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d"
"3348","e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3349","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","d"
"3350","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3354","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3356","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3358","p","x","f","w","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3360","p","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3361","e","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3363","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","d"
"3364","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3368","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3369","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3370","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3375","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3377","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3378","e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3379","e","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3392","e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3395","e","f","y","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3396","p","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3398","p","x","s","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3400","p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","g"
"3405","e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3416","e","f","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3425","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"3429","e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3433","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3438","p","f","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","p"
"3441","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3445","p","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3450","e","f","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d"
"3458","p","x","f","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3462","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3471","e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3477","e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3480","p","x","f","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3485","p","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3487","e","f","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3490","e","f","y","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3491","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3496","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3498","e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3504","e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3511","e","f","y","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d"
"3522","p","x","s","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3530","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3534","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","d"
"3545","p","x","f","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","d"
"3549","e","f","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"3551","e","f","f","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3556","e","f","f","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3557","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","d"
"3570","e","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"3574","e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"3577","e","f","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3582","p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g"
"3592","e","x","y","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d"
"3594","e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3608","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3613","e","f","y","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","v","d"
"3614","e","f","y","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3615","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","d"
"3616","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3617","p","x","f","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3618","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3624","e","f","f","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3636","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3637","e","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3642","e","f","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3652","e","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3657","p","x","f","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3660","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3665","e","f","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3682","e","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"3702","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"3710","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","d"
"3711","p","x","f","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","d"
"3717","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d"
"3719","p","f","y","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","d"
"3726","p","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3728","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"3738","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","d"
"3739","p","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3749","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3750","e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","d"
"3755","p","x","f","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"3756","p","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","g"
"3764","e","f","f","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3766","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"3767","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"3769","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","d"
"3776","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3779","e","f","y","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3781","e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"3787","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3792","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3795","p","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3799","e","f","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3801","e","f","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3802","p","x","s","g","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3803","e","f","y","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3805","p","x","f","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3810","e","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","d"
"3813","e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3816","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3817","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d"
"3826","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"3828","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3833","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"3845","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3867","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"3870","p","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3880","p","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3883","p","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3885","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3887","e","f","f","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3888","p","x","s","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3889","e","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3893","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","g"
"3897","e","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"3911","e","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"3913","p","f","f","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3919","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g"
"3926","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","d"
"3930","p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","d"
"3933","p","f","y","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","d"
"3939","e","f","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3952","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","g"
"3972","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3973","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3975","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3981","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g"
"3983","p","f","s","w","t","f","f","c","b","p","t","b","f","s","w","w","p","w","o","p","h","v","g"
"3987","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","g"
"3989","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g"
"3993","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3994","p","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"4001","e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","d"
"4012","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4013","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"4015","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"4016","p","f","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4021","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","g"
"4022","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4025","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4035","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g"
"4037","p","x","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4041","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4046","p","x","s","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"4047","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","d"
"4049","p","x","f","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"4050","p","x","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","d"
"4053","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4058","p","x","f","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"4061","p","x","y","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"4062","e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","d"
"4071","p","x","y","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"4073","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","p"
"4074","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"4075","e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4081","p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","d"
"4087","p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"4093","e","f","y","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","d"
"4094","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","d"
"4100","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","d"
"4106","e","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4111","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4112","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"4114","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","d"
"4135","e","f","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d"
"4136","p","f","y","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","g"
"4138","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4142","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"4152","p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","g"
"4156","e","f","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"4157","e","f","y","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d"
"4159","p","f","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4161","p","x","y","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","g"
"4165","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","d"
"4175","p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4177","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","d"
"4188","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"4200","p","x","f","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d"
"4204","p","x","s","g","t","f","f","c","b","w","t","b","s","f","w","w","p","w","o","p","h","s","u"
"4209","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d"
"4212","p","x","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"4220","p","f","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","d"
"4228","p","f","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4233","p","f","s","w","t","f","f","c","b","p","t","b","f","f","w","w","p","w","o","p","h","s","u"
"4234","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","g"
"4237","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","d"
"4246","p","x","s","w","t","f","f","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","g"
"4251","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","g"
"4254","e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"4260","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
