"","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"3709","F",0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
"3711","M",0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
"3715","F",0.725,0.56,0.185,1.792,0.873,0.367,0.435,11
"3722","M",0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
"3726","M",0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
"3728","M",0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
"3735","M",0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10
"3740","F",0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
"3741","F",0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11
"3743","F",0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,13
"3748","I",0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
"3749","I",0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
"3751","I",0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
"3763","I",0.53,0.395,0.115,0.475,0.2025,0.101,0.148,8
"3784","I",0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12
"3800","F",0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
"3801","M",0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
"3803","I",0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6
"3806","M",0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9
"3817","M",0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
"3822","M",0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
"3826","M",0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
"3828","M",0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11
"3831","M",0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14
"3835","M",0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6
"3838","I",0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
"3849","F",0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,14
"3850","M",0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
"3852","M",0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10
"3853","M",0.55,0.41,0.15,0.785,0.282,0.186,0.275,12
"3861","F",0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14
"3863","M",0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
"3870","F",0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
"3872","F",0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
"3875","F",0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
"3877","M",0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16
"3881","I",0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7
"3887","F",0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
"3892","F",0.56,0.46,0.18,0.97,0.342,0.196,0.355,12
"3898","F",0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
"3900","I",0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
"3901","M",0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
"3907","M",0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
"3912","I",0.355,0.27,0.1,0.216,0.083,0.037,0.075,10
"3913","I",0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
"3921","M",0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
"3926","F",0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
"3928","I",0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
"3930","F",0.65,0.515,0.215,1.498,0.564,0.323,0.425,16
"3946","I",0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
"3947","M",0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
"3949","F",0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
"3952","F",0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13
"3960","F",0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11
"3971","I",0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
"3975","I",0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8
"3979","M",0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
"3985","M",0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
"4005","M",0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
"4007","M",0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9
"4013","F",0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
"4017","F",0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
"4022","F",0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10
"4024","I",0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
"4026","I",0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
"4038","I",0.54,0.415,0.155,0.702,0.322,0.167,0.19,10
"4045","F",0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
"4046","M",0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
"4047","M",0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
"4056","F",0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
"4058","F",0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
"4059","F",0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10
"4063","M",0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9
"4064","F",0.63,0.515,0.16,1.336,0.553,0.3205,0.35,11
"4065","F",0.64,0.49,0.18,1.36,0.653,0.347,0.305,9
"4067","I",0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
"4079","M",0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,10
"4081","I",0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8
"4086","M",0.585,0.51,0.16,1.218,0.639,0.241,0.3,11
"4093","F",0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
"4100","M",0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9
"4103","M",0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
"4112","I",0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8
"4120","I",0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
"4125","I",0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8
"4126","I",0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9
"4134","M",0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
"4136","F",0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11
"4150","I",0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
"4151","I",0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7
"4163","M",0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
"4164","I",0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
"4165","I",0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
"4175","M",0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
