"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"11757",435000,4,2.5,2440,5350,2,0,0,3,7,2440,0,2003,0,98059,47.4891,-122.149,2440,5090
"11761",590000,4,2.75,2240,5400,2,0,0,4,7,1540,700,1940,0,98116,47.5785,-122.402,1830,5000
"11764",1236300,5,3.5,3180,4628,2,0,0,3,10,2420,760,2001,0,98199,47.6423,-122.394,2060,4640
"11766",419000,5,3,2190,9652,2,0,0,3,7,2190,0,1999,0,98178,47.5049,-122.239,1440,6710
"11767",592350,2,2,1570,4665,1,0,0,3,8,1570,0,2006,0,98053,47.709,-122.017,2165,6262
"11771",1850000,5,3.25,3680,6060,2,0,0,5,9,2630,1050,1925,0,98112,47.6341,-122.304,3050,5850
"11781",289950,3,1,1090,8280,1,0,0,3,6,1090,0,1947,2006,98155,47.7562,-122.318,1060,7609
"11782",265000,3,1.75,1450,5858,1,0,0,4,7,1450,0,1991,0,98038,47.3482,-122.037,1520,6573
"11784",370000,3,1.5,1320,7201,1,0,0,3,7,1320,0,1971,0,98034,47.7126,-122.211,1380,7201
"11791",205000,3,1.5,1120,8366,1,0,0,3,7,1120,0,1968,0,98042,47.3632,-122.11,1260,9000
"11793",256000,4,2.5,2050,5787,2,0,0,3,7,2050,0,2002,0,98198,47.3527,-122.315,2030,6615
"11797",170000,2,1,1200,24792,2,0,0,2,7,1200,0,1976,0,98053,47.6337,-121.961,2150,24792
"11798",530000,5,2.25,2140,7910,1,0,0,3,7,1070,1070,1962,0,98007,47.6071,-122.137,1680,8700
"11799",905000,4,3.25,3440,7661,2,0,0,3,11,3440,0,2006,0,98029,47.5429,-121.995,3580,6478
"11812",375000,3,1,1040,9800,1,0,0,4,7,1040,0,1955,0,98006,47.5765,-122.155,1280,8880
"11814",364900,4,2.5,2490,9346,2,0,2,3,9,2490,0,1996,0,98042,47.3831,-122.147,2650,9454
"11816",467000,5,2,2080,4000,1,0,0,4,6,1040,1040,1909,0,98144,47.5858,-122.308,1940,6000
"11823",319950,3,2.5,2240,7500,2,0,0,3,8,2240,0,1985,0,98092,47.265,-122.22,2190,7506
"11825",205000,3,2,1800,11419,1,0,0,3,8,1800,0,1989,0,98092,47.2623,-122.217,2220,11406
"11826",335000,4,2.5,1980,4745,2,0,0,3,7,1980,0,2004,0,98038,47.3495,-122.04,1980,4878
"11829",330000,4,2.25,1790,9920,1,0,0,4,7,1170,620,1969,0,98059,47.5126,-122.149,1990,9648
"11832",4e+05,4,1.75,2670,189486,2,0,4,3,8,2670,0,1972,0,98092,47.2585,-122.061,2190,218610
"11834",717000,3,1.5,1310,3880,1,0,0,3,7,1090,220,1956,0,98117,47.6821,-122.392,1570,3880
"11835",319000,4,2.5,1930,8336,2,0,0,3,8,1930,0,1995,0,98031,47.4016,-122.166,2280,7959
"11837",355000,3,1,1180,7573,1,0,0,4,7,1180,0,1977,0,98155,47.7372,-122.294,1320,7573
"11845",770000,3,3.5,2050,21744,2,1,4,4,9,1750,300,1930,0,98166,47.4536,-122.376,2300,12200
"11848",494500,4,3,3760,8804,2,0,0,3,8,2470,1290,2002,0,98056,47.5161,-122.191,1960,7225
"11857",154500,3,1,890,9465,1,0,0,3,6,890,0,1957,0,98148,47.4388,-122.328,1590,9147
"11865",573500,3,1,2200,21450,1,0,0,4,9,1600,600,1952,0,98166,47.4527,-122.372,1880,11250
"11869",290000,2,1,960,4000,1,0,0,3,6,960,0,1918,0,98118,47.5554,-122.267,1210,4000
"11874",650000,5,3.5,3990,10120,2,0,0,3,9,2820,1170,1990,0,98011,47.741,-122.208,2750,9622
"11887",215000,2,2,1180,2521,2,0,0,3,6,1180,0,2005,0,98038,47.3487,-122.021,1310,3003
"11904",280500,3,1.5,1670,6988,1,0,0,3,7,1370,300,1953,0,98148,47.4283,-122.323,1090,7753
"11915",429950,4,2.5,2320,4524,2,0,0,3,8,2320,0,2004,0,98059,47.4798,-122.136,2330,4524
"11920",466800,3,2.5,1480,14250,2,0,0,3,7,1480,0,1996,0,98033,47.6595,-122.186,1660,14250
"11923",674950,3,2.75,3510,92347,2,0,0,3,10,3510,0,1990,0,98038,47.3735,-122.018,2970,37070
"11925",1443920,4,3,3720,5000,2.5,0,0,5,9,2720,1000,1905,0,98102,47.6282,-122.322,2610,5000
"11934",485500,4,2.5,1800,4500,2,0,0,3,8,1800,0,1999,0,98075,47.5998,-122.014,1800,4500
"11944",571000,3,2.5,2510,5186,2,0,0,3,7,2510,0,2001,0,98053,47.6895,-122.041,2530,5186
"11948",1150000,4,3,4160,13170,2,0,0,3,11,3040,1120,2001,0,98059,47.5182,-122.149,3780,13148
"11959",315000,4,2.5,1970,5190,2,0,0,3,7,1970,0,2002,0,98059,47.515,-122.164,1840,5564
"11960",509950,3,2.5,1880,4668,2,0,0,3,8,1880,0,1993,0,98029,47.5666,-121.999,2060,4668
"11964",625000,4,2.5,3190,27806,2,0,0,3,9,3190,0,1997,0,98010,47.3425,-122.03,2810,28619
"11965",378000,3,1.5,1000,6914,1,0,0,3,7,1000,0,1947,0,98125,47.7144,-122.319,1000,6947
"11966",239950,3,1.75,1670,6900,1,0,0,3,7,1170,500,1978,0,98023,47.2975,-122.38,1740,7000
"11968",325000,2,1,1010,6180,1,0,0,3,6,1010,0,1903,0,98118,47.5532,-122.28,1560,6180
"11973",839900,4,2.5,3420,7462,2,0,0,3,9,3420,0,2002,0,98074,47.6388,-122.064,3080,8031
"11984",319950,4,1.75,2310,8045,1,0,0,4,7,1650,660,1976,0,98058,47.4569,-122.165,1790,8086
"11992",897500,4,3,4370,217882,2,0,0,3,10,4370,0,1984,0,98053,47.6573,-122.034,2430,35096
"11999",1400000,5,3,3850,14990,1,0,0,4,9,2290,1560,1964,0,98004,47.6425,-122.218,3010,15001
"12004",435000,3,2.5,2370,6082,2,0,0,3,7,2370,0,2004,0,98065,47.5288,-121.846,2690,6152
"12014",263000,3,2.25,1590,7748,2,0,0,4,7,1590,0,1991,0,98003,47.2857,-122.3,1590,7606
"12015",185000,3,1,1240,9198,1.5,0,0,4,7,1240,0,1959,0,98032,47.37,-122.297,1170,8970
"12037",365000,4,2.5,1904,8200,2,0,0,5,7,1904,0,1999,0,98010,47.3107,-122.001,1560,12426
"12042",312500,4,0.5,2300,5570,2,0,0,3,8,2300,0,1996,0,98092,47.3285,-122.168,1820,6371
"12045",1060000,3,2.75,2700,22343,1.5,0,1,4,10,2700,0,1977,0,98040,47.5706,-122.209,3390,15682
"12047",350500,2,2.5,1770,4950,1,0,0,3,7,1770,0,2003,0,98038,47.3497,-122.025,1770,4500
"12055",401000,2,1.5,1260,2625,2,0,0,4,7,1260,0,1983,0,98052,47.6747,-122.151,1260,2625
"12067",697000,4,1.75,1670,13125,1,0,0,5,8,1670,0,1973,0,98052,47.6315,-122.101,2360,12500
"12069",535000,4,2,1970,3515,1,0,0,5,8,1030,940,1969,0,98115,47.6873,-122.314,1650,4275
"12073",605000,3,3.25,2200,2400,2,0,0,3,8,1740,460,1988,0,98119,47.6325,-122.371,2200,3600
"12078",285000,3,1.75,1930,7200,1.5,0,0,3,6,1930,0,1929,0,98065,47.5263,-121.809,1350,9000
"12084",355000,5,2.75,2530,9375,1,0,0,5,7,1530,1000,1966,0,98030,47.3738,-122.214,2250,8200
"12086",210000,4,2.25,1500,5393,2,0,0,3,7,1500,0,1999,0,98001,47.3378,-122.263,1700,5917
"12087",423000,4,1.75,1700,9000,1,0,0,3,7,1700,0,1967,0,98034,47.7308,-122.18,1930,7818
"12089",325000,4,2.5,2240,5105,2,0,0,4,8,2240,0,2002,0,98042,47.3922,-122.165,1920,5288
"12090",257000,3,1.75,1540,8223,1,0,0,4,7,1070,470,1987,0,98042,47.3666,-122.089,1240,8113
"12095",630000,4,2.5,3220,14463,2,0,0,3,8,3220,0,1978,0,98074,47.6261,-122.047,2550,12109
"12098",398000,4,1,1420,6458,1,0,0,4,7,1420,0,1953,0,98117,47.6988,-122.358,1670,6350
"12102",348500,2,2.25,1550,1824,2,0,0,3,8,1550,0,2007,0,98106,47.5396,-122.368,1460,1826
"12106",502000,3,1,1710,5000,1,0,0,5,7,1140,570,1921,0,98116,47.5719,-122.385,1670,4000
"12117",267300,3,1.75,1890,93218,1,0,0,4,7,1890,0,1964,0,98092,47.2568,-122.07,1690,172062
"12118",585000,2,1.75,1830,7200,1,0,2,4,7,1070,760,1949,0,98118,47.5592,-122.273,1570,6000
"12128",299500,3,1,1380,10875,1,0,0,3,7,1380,0,1977,0,98045,47.4653,-121.745,1040,10875
"12136",229000,1,1,600,3720,1,0,0,3,6,600,0,1920,0,98106,47.5558,-122.363,1480,4800
"12149",895000,4,1.5,3390,6200,2,0,0,4,8,2530,860,1916,0,98144,47.58,-122.29,3080,6000
"12156",667000,5,2.25,2560,10360,1,0,0,4,8,1870,690,1966,0,98008,47.5819,-122.126,2070,7875
"12157",2e+05,2,1,920,5250,1,0,0,4,6,920,0,1906,0,98118,47.5177,-122.266,1210,5250
"12161",601500,3,1.75,1460,10128,1,0,0,3,8,1460,0,1968,2000,98033,47.6709,-122.167,2240,10154
"12164",310000,3,2.5,2370,6752,2,0,0,3,8,2370,0,1994,0,98003,47.2703,-122.312,1870,7455
"12175",626000,4,1.75,1350,9293,1,0,0,4,7,1350,0,1954,0,98004,47.6335,-122.196,1890,9293
"12177",289000,3,2.5,2090,4700,2,0,0,3,8,2090,0,2002,0,98042,47.3724,-122.104,2740,5040
"12178",595000,3,2.5,2030,5100,2,0,0,3,7,2030,0,2008,0,98199,47.6594,-122.397,1790,4380
"12183",511555,3,2,1400,7293,1,0,0,4,7,1400,0,1963,0,98008,47.586,-122.12,1600,7960
"12185",429000,3,2.5,2420,49928,2,0,0,3,8,1860,560,1985,0,98027,47.463,-122.008,2620,37301
"12186",170000,4,1.75,1920,7500,1,0,0,4,7,1920,0,1962,0,98198,47.4222,-122.318,1490,8000
"12191",615000,3,1.75,2220,7224,1,0,2,3,8,2040,180,1975,0,98177,47.774,-122.384,2540,9990
"12200",1015000,3,1.75,3610,8502,1.5,0,2,3,10,2610,1000,1930,0,98126,47.583,-122.379,2900,5016
"12210",227000,1,2,1150,9812,1,0,0,4,7,1150,0,1962,0,98001,47.2951,-122.284,1200,9812
"12215",269500,2,1.5,1480,7276,1,0,0,4,6,940,540,1978,0,98056,47.4942,-122.166,1090,6710
"12217",359950,2,1,1240,7590,1,0,0,4,7,1040,200,1939,0,98133,47.7061,-122.34,1190,5692
"12220",250000,4,2,2120,8701,1.5,0,0,4,7,2120,0,1960,0,98198,47.3722,-122.308,1720,8527
"12226",1462500,5,3.25,3840,4800,3,0,3,3,10,2750,1090,2008,0,98144,47.5929,-122.29,2060,4800
"12230",525000,4,2.5,3670,9958,2,0,0,3,10,3670,0,2005,0,98058,47.4617,-122.159,3300,10679
"12246",6e+05,2,1,1370,5000,1.5,0,0,3,7,1370,0,1905,0,98107,47.6744,-122.383,1500,5000
"12257",994000,4,2.5,3470,20445,2,0,0,4,10,3470,0,1963,0,98040,47.547,-122.219,3360,21950
"12260",359950,3,2,1790,7212,1,0,0,4,8,1790,0,1998,0,98042,47.3898,-122.154,2330,7212
"12263",330000,3,1.75,1340,10276,1,0,0,4,7,1340,0,1961,0,98034,47.7207,-122.222,2950,7987
"12264",450000,3,1.75,1480,8394,1,0,0,4,8,1480,0,1971,0,98052,47.6634,-122.144,1920,9184
"12298",950000,3,2.75,2750,18029,1,0,2,5,9,1810,940,1978,0,98006,47.5617,-122.134,2850,10021
"12300",345000,2,1,860,8250,1,0,0,3,7,860,0,1940,0,98133,47.7132,-122.334,1780,11200
"12301",741000,4,2.75,2070,10125,1,0,0,3,7,1390,680,1962,0,98040,47.5697,-122.219,1850,10125
"12305",280000,4,2,1710,5440,1,0,0,5,8,1030,680,1976,0,98042,47.366,-122.093,1620,6696
"12309",429000,4,1,1350,3333,1.5,0,0,3,7,1350,0,1912,0,98107,47.6727,-122.397,1530,5000
"12310",270000,5,2.5,2140,10320,1,0,0,4,7,1330,810,1967,0,98031,47.3927,-122.194,2050,8964
"12326",595000,4,2.5,1820,20011,2,0,0,3,8,1820,0,1987,0,98075,47.5842,-122.045,2710,33915
"12332",1072500,3,2.25,2890,21480,2,0,4,3,8,1790,1100,1941,1989,98146,47.5027,-122.381,2110,8107
"12333",430000,3,1.5,1810,5080,1,0,0,3,7,1030,780,1958,0,98115,47.6819,-122.287,1780,7620
"12334",615500,3,1.5,1810,5080,1,0,0,3,7,1030,780,1958,0,98115,47.6819,-122.287,1780,7620
"12337",1186040,3,1.75,2550,6117,2,0,0,3,9,1650,900,1951,2004,98122,47.6109,-122.285,2100,4967
"12344",339900,4,1.5,1570,9210,1,0,2,3,7,1400,170,1965,0,98030,47.3864,-122.22,2326,9210
"12347",390000,3,2,1010,14183,1,0,0,3,8,1010,0,1982,0,98074,47.6232,-122.043,1750,11700
"12355",450000,3,2.5,1670,2589,2,0,0,3,8,1670,0,2000,0,98027,47.5314,-122.047,1670,2897
"12361",488500,3,2,1710,10959,1,0,0,4,7,1030,680,1981,0,98033,47.697,-122.199,1710,10498
"12365",1115000,4,2.5,3180,31931,1,0,0,4,10,2390,790,1978,0,98007,47.6388,-122.149,3180,35007
"12366",1550000,4,4,5280,17677,2,0,3,3,11,3220,2060,1978,0,98040,47.5323,-122.238,3470,17474
"12369",336500,4,2.5,2500,5264,2,0,0,3,7,2500,0,2003,0,98038,47.3853,-122.028,1960,5250
"12373",524000,2,1,1120,2000,1.5,0,0,3,7,1120,0,1910,0,98109,47.6454,-122.354,1500,4000
"12386",599990,3,2.25,2680,9162,1,0,0,3,8,1570,1110,1978,0,98027,47.5683,-122.091,2480,8261
"12387",395000,5,1.75,2100,9599,1,0,0,3,7,1060,1040,1961,0,98034,47.7097,-122.216,1680,10712
"12389",207000,3,1,920,5546,1,0,0,2,6,920,0,1928,0,98125,47.7114,-122.284,1300,5546
"12397",943500,3,2.25,2370,10890,2,0,0,4,7,2370,0,1980,0,98004,47.5827,-122.197,2370,9514
"12401",660000,3,2.5,2590,35640,1,0,0,3,9,2590,0,1987,0,98029,47.5516,-122.03,2590,31200
"12405",422500,3,1,1270,8920,1,0,0,5,7,1270,0,1969,0,98056,47.534,-122.172,1590,8589
"12406",239000,2,2,1470,2052,1.5,0,0,3,7,1470,0,1986,0,98003,47.3086,-122.328,1470,2052
"12412",190848,4,1.5,1370,7904,1,0,0,3,7,900,470,1970,0,98001,47.3344,-122.28,1370,7900
"12422",263000,3,1.5,1300,7885,1,0,0,3,7,1300,0,1968,0,98055,47.4556,-122.209,1840,7600
"12423",317000,5,2.5,2360,11375,1,0,0,4,7,1180,1180,1962,0,98178,47.4875,-122.255,1160,7800
"12441",560000,3,2,2340,3477,1,0,1,5,7,1170,1170,1971,0,98118,47.54,-122.267,2110,6300
"12442",385000,3,2,1480,6600,1,0,2,3,7,740,740,1943,0,98146,47.5081,-122.385,1250,7300
"12448",164000,4,1,1530,4875,2,0,0,3,7,1530,0,1977,0,98042,47.3638,-122.091,1470,4875
"12464",795000,2,2.5,2830,8630,2,0,0,3,10,2830,0,2001,0,98074,47.6481,-122.081,3190,7515
"12466",222900,2,1,1110,6411,1,0,0,3,6,1110,0,1944,0,98178,47.4962,-122.242,1150,6504
"12469",850000,5,3.5,3870,65556,2,0,0,3,10,3870,0,1994,0,98053,47.6403,-121.992,4290,67019
"12473",314950,4,1.75,1890,9623,1,0,0,4,7,1290,600,1969,0,98001,47.2901,-122.279,1510,9711
"12475",3e+05,3,1.5,1590,8911,1,0,0,3,7,1590,0,1956,0,98028,47.7394,-122.252,1590,9625
"12479",498000,3,1.5,1720,6570,1.5,0,0,4,8,1720,0,1909,0,98118,47.5284,-122.265,1360,6000
"12480",8e+05,3,1.75,2080,75794,1,0,0,3,7,2080,0,1958,0,98033,47.7018,-122.189,1870,11020
"12484",517000,3,2.25,1640,4635,1.5,0,0,3,8,1540,100,1930,0,98115,47.6793,-122.319,1530,4635
"12487",230500,3,2.25,1690,7245,1,0,1,3,7,1160,530,1973,0,98003,47.3505,-122.305,1690,6720
"12490",357950,2,1,810,3880,1,0,0,3,7,810,0,1952,0,98107,47.6631,-122.365,900,4365
"12492",377500,4,2.5,2640,10720,2,0,0,3,8,2640,0,1999,0,98188,47.4485,-122.278,1680,10018
"12500",375950,3,1.75,1480,7560,1,0,0,3,6,1100,380,1920,1985,98117,47.6985,-122.364,1510,7250
"12504",450000,4,2.5,2820,15233,1,0,2,4,9,1820,1000,1972,0,98003,47.3426,-122.321,2560,11998
"12505",311000,3,2.75,1400,7880,1,0,0,3,7,1000,400,1981,0,98056,47.5095,-122.193,1400,7279
"12507",485000,3,2.5,1800,11034,2,0,0,4,8,1800,0,1987,0,98072,47.7558,-122.142,1940,8900
"12511",260000,3,2.25,1610,7423,2,0,0,4,7,1610,0,1990,0,98042,47.3713,-122.091,1530,8102
"12527",432000,3,1.75,1550,8134,1,0,0,4,7,1550,0,1959,0,98008,47.6136,-122.121,1360,8000
"12530",174000,2,1,900,13531,1,0,0,3,6,900,0,1979,0,98001,47.2616,-122.251,1767,8308
"12532",518000,3,1.75,1830,4500,1.5,0,0,4,7,1830,0,1909,0,98115,47.676,-122.308,1830,4080
"12544",375000,3,1.5,1100,1751,2,0,0,3,8,940,160,2007,0,98144,47.5927,-122.306,1380,1751
"12548",608000,2,1,1390,3600,1,0,0,4,7,1010,380,1913,0,98119,47.6422,-122.36,1590,3600
"12550",381800,4,2,1530,5250,1,0,0,3,7,1110,420,1981,0,98133,47.7336,-122.339,1100,5250
"12553",312000,2,1.75,1160,8625,1,0,0,4,6,1160,0,1941,0,98106,47.5509,-122.366,960,5750
"12557",325000,3,2.25,2480,8755,2,0,0,3,8,2480,0,1979,0,98058,47.4543,-122.125,2280,9940
"12558",242000,4,1,2240,7620,1,0,0,3,7,1120,1120,1966,0,98146,47.5089,-122.346,1080,7620
"12561",445000,3,2.5,2790,16173,2,0,0,3,10,2790,0,1988,0,98023,47.3043,-122.343,2890,11632
"12565",417000,4,2,2090,4000,1,0,0,3,6,1060,1030,1907,0,98144,47.5893,-122.299,1590,4000
"12569",990000,4,2.5,2540,5930,2,0,0,3,9,2540,0,2003,0,98199,47.6451,-122.387,1400,4000
"12590",587000,5,3.5,3610,52595,2,0,0,4,7,3610,0,1989,0,98014,47.6832,-121.907,1620,60112
"12593",671000,4,3,3130,5700,1.5,0,0,3,7,1750,1380,1953,0,98115,47.6811,-122.283,2080,5700
"12594",695000,5,3.25,3940,9780,2,0,0,3,9,3940,0,2007,0,98065,47.5435,-121.888,3550,8468
"12596",350000,4,1,1510,7200,1.5,0,0,4,7,1510,0,1955,0,98155,47.761,-122.307,1950,10656
"12598",313999,4,2.25,1870,4198,2,0,0,3,7,1870,0,2008,0,98038,47.3657,-122.021,1870,4184
"12601",495500,3,2.5,2010,57934,1,0,0,3,7,2010,0,1978,0,98014,47.6262,-121.96,2040,55527
"12619",5e+05,4,2.5,2900,5760,1,0,0,4,8,1660,1240,1959,0,98118,47.55,-122.272,2250,6098
"12624",280000,4,1,1880,6288,1,0,0,3,7,1120,760,1974,0,98178,47.5101,-122.259,1880,6334
"12631",230000,3,1.75,1400,6956,1,0,0,4,7,1400,0,1957,0,98031,47.4233,-122.198,1400,9375
"12638",8e+05,4,2.25,2010,7200,1,0,1,4,8,1010,1000,1950,0,98118,47.5591,-122.267,2010,7200
"12641",520000,3,2,1670,8800,1,0,0,4,7,1150,520,1961,0,98008,47.6096,-122.132,2020,8250
"12642",515000,4,2.5,1800,4338,2,0,0,3,8,1800,0,2001,0,98075,47.5962,-122.015,1800,4507
"12646",458500,3,1.5,1280,1920,1.5,0,0,3,7,1280,0,1905,1990,98122,47.6117,-122.301,1280,3150
"12650",325000,2,1,900,8374,1,0,0,3,7,900,0,1984,0,98034,47.7282,-122.225,1580,8965
"12651",1850000,4,3.25,3480,6000,3,0,0,3,8,3480,0,2014,0,98109,47.6353,-122.353,2200,4080
"12659",290000,3,1.75,1460,7980,1,0,0,3,7,1460,0,1972,0,98028,47.7713,-122.265,1920,7980
"12662",583000,4,2.5,2660,4000,2,0,0,3,8,2660,0,2001,0,98053,47.6876,-122.038,2330,4517
"12663",150000,2,1,870,5700,1,0,0,4,6,870,0,1957,0,98056,47.498,-122.17,1020,5700
"12671",680000,3,2.25,2270,23900,1,0,0,3,9,1820,450,1975,0,98177,47.7506,-122.372,2520,28300
"12672",686500,2,1.75,1390,5025,1.5,0,0,4,8,1390,0,1928,0,98105,47.6701,-122.288,2160,5000
"12673",410000,3,1.75,1530,26642,1,0,0,3,7,1180,350,1988,0,98072,47.7422,-122.097,1550,13566
"12676",345000,4,2.5,2390,6976,2,0,0,3,7,2390,0,2003,0,98056,47.4807,-122.182,2390,6346
"12679",335000,3,2.25,1870,5876,2,0,0,3,7,1870,0,1986,0,98038,47.3779,-122.045,1670,6203
"12680",350000,4,3,1780,4228,1,0,0,3,7,1780,0,1953,0,98118,47.5488,-122.287,1730,5304
"12681",590000,3,1,1610,58370,1,0,0,3,7,1610,0,1978,0,98053,47.6718,-122.044,2510,58127
"12686",312500,2,1,870,7227,1,0,0,3,7,870,0,1948,0,98133,47.7288,-122.331,1250,7252
"12695",290000,4,1.75,2340,7200,1,0,0,3,8,1590,750,1960,0,98146,47.497,-122.369,1970,7800
"12697",1100000,4,3.5,2210,7597,1,0,0,4,9,1550,660,1977,2006,98004,47.5816,-122.197,2370,8811
"12698",420000,3,1.75,1820,22320,1,0,0,3,7,1250,570,1977,0,98053,47.6441,-121.96,2030,22320
"12700",252000,3,1.5,1400,6865,1,0,0,4,7,1400,0,1986,0,98038,47.3639,-122.048,1480,8125
"12707",835000,5,2.75,2460,7830,1,0,0,5,9,1490,970,1955,0,98115,47.6938,-122.31,2050,7830
"12713",545000,4,2.25,1890,7210,1,0,0,3,8,1890,0,1967,0,98008,47.6342,-122.117,1920,7210
"12715",460000,5,3,2008,5050,1,0,0,3,7,1216,792,1992,0,98118,47.5376,-122.292,2040,5297
"12728",642860,4,2.75,2520,6398,2,0,0,3,8,2520,0,2014,0,98072,47.7685,-122.159,2520,6398
"12730",559950,4,2.5,2650,7200,2,0,0,3,8,2250,400,1979,0,98133,47.7317,-122.354,2110,7269
"12742",550000,3,1,1630,6009,1,0,3,4,8,1630,0,1954,0,98117,47.693,-122.383,2120,6009
"12743",135000,3,1,1520,8450,1,0,0,2,6,1120,400,1961,0,98023,47.328,-122.337,1320,8450
"12761",382000,3,2,1360,4840,1.5,0,0,3,8,1360,0,1936,0,98126,47.5487,-122.376,1450,4840
"12762",475000,3,1.75,1870,25157,2,0,0,3,7,1870,0,1978,0,98014,47.695,-121.915,1870,15391
"12771",610000,4,2.5,2410,15899,2,0,3,3,9,2410,0,1990,0,98074,47.6242,-122.04,2360,11412
"12779",316000,4,2.5,2320,7379,2,0,0,3,8,2320,0,1987,0,98003,47.3432,-122.316,2230,7614
"12787",838400,4,2.5,2620,9525,2.5,0,0,4,9,2620,0,1974,0,98040,47.5631,-122.219,2580,9525
"12795",726000,3,2.5,2040,10033,1,0,0,4,8,1420,620,1974,0,98005,47.6375,-122.173,2260,10115
"12802",320000,3,1.75,1510,30185,1.5,0,0,3,7,1510,0,1976,0,98058,47.4118,-122.089,1470,12465
"12807",610000,4,2.5,2950,9010,2,0,0,3,9,2950,0,2004,0,98065,47.531,-121.86,3160,8813
"12811",302000,5,1.75,2360,8642,1.5,0,0,5,7,2060,300,1926,0,98133,47.7617,-122.335,1950,8491
"12812",787500,4,1.75,1580,9382,1,0,0,3,7,1080,500,1963,0,98039,47.6353,-122.232,2010,9382
"12823",343000,2,1,1110,9920,1,0,0,5,6,700,410,1942,0,98056,47.5454,-122.192,2830,10091
"12827",1749000,4,2.5,3910,22710,1.5,0,0,3,8,3910,0,1908,2003,98004,47.6295,-122.217,2920,16544
"12829",323000,4,2.75,2000,9083,2,0,0,4,7,2000,0,1992,0,98038,47.3511,-122.058,1690,7735
"12830",727000,4,3,3150,9703,2,0,0,3,9,3150,0,2001,0,98075,47.5962,-122.018,3150,8819
"12835",165000,3,1,1150,19200,1,0,0,4,5,1150,0,1908,0,98001,47.2756,-122.27,1290,19200
"12843",305000,3,2.5,2030,8000,2,0,0,3,7,2030,0,1997,0,98031,47.4024,-122.216,2290,7945
"12845",799950,4,3.5,4220,196817,2,0,0,3,10,4220,0,1993,0,98092,47.2642,-122.187,2500,195395
"12853",310000,4,2.75,2060,8100,1,0,0,4,7,1310,750,1988,0,98198,47.3581,-122.317,1540,8100
"12854",315000,4,2.25,1880,9163,2,0,0,3,8,1880,0,1981,0,98058,47.4362,-122.165,1900,7980
"12859",410000,3,2.25,1420,3750,2,0,0,3,7,1420,0,1987,0,98116,47.5725,-122.383,1430,4664
"12867",280000,3,2.5,1600,6700,2,0,0,3,8,1600,0,1991,0,98042,47.3618,-122.074,1790,7577
"12879",284000,3,1,1080,8214,1,0,0,3,7,1080,0,1944,0,98133,47.7401,-122.348,1850,13560
"12883",485000,3,2,1610,4160,1,0,0,4,7,1010,600,1917,0,98136,47.5421,-122.388,1040,4400
"12899",443950,3,1.75,2000,36000,1,0,0,3,6,2000,0,1946,1995,98056,47.5217,-122.182,2100,9681
"12900",315000,3,2,1060,5750,1,0,0,3,7,1060,0,1981,0,98126,47.5523,-122.372,1080,5750
"12909",626000,3,1,1040,4240,1,0,0,4,7,860,180,1924,0,98117,47.6768,-122.367,1170,4240
"12911",429000,2,1,1010,5000,1,0,0,2,7,1010,0,1924,0,98107,47.6715,-122.365,1410,5000
"12912",818000,4,2.5,4020,44431,2,0,0,3,10,4020,0,1987,0,98072,47.7467,-122.132,3440,52900
"12913",326000,5,2.75,2166,6342,2,0,0,3,8,2166,0,2013,0,98042,47.3461,-122.152,2474,5948
"12919",1250000,5,3.5,3510,4798,2,0,0,3,10,2700,810,2008,0,98105,47.669,-122.282,1460,1684
"12920",428000,3,1.75,1580,507038,1,0,2,4,7,1580,0,1985,0,98022,47.2303,-121.936,2040,210394
"12924",590000,4,2.5,2660,35010,2,0,2,3,9,2660,0,1993,0,98045,47.4816,-121.714,2330,35448
"12927",509000,3,2.25,1780,9315,2,0,0,3,7,1780,0,1996,0,98133,47.7484,-122.353,1780,8545
"12934",469000,3,2.25,2620,10659,1,0,0,3,7,1660,960,1976,0,98155,47.7643,-122.273,1820,12071
"12944",313500,5,3,2240,94960,1,0,0,3,6,2240,0,1985,0,98045,47.481,-121.788,1780,43400
"12947",244500,2,1.75,1300,14500,1,0,0,3,6,650,650,1939,0,98168,47.4989,-122.329,1370,12986
"12949",890000,4,2.5,2930,9158,2,0,0,3,9,2930,0,2005,0,98052,47.7065,-122.13,3590,8065
"12951",250000,3,1.75,1628,286355,1,0,0,3,7,1628,0,1996,0,98092,47.2558,-122.122,1490,216344
"12952",246000,3,2,1990,203861,1,0,0,3,7,1990,0,1949,0,98022,47.2507,-122.039,2760,217800
"12958",169500,3,1,1060,10023,1,0,0,3,6,1060,0,1962,0,98023,47.2869,-122.36,1060,10023
"12961",345000,4,2.75,2200,13498,2,0,0,3,8,2200,0,1987,0,98023,47.3148,-122.35,2190,11850
"12964",250000,3,1.75,1350,8548,1,0,0,3,7,1350,0,1985,0,98003,47.3179,-122.33,1660,8538
"12975",625000,4,1.5,2190,13660,1,0,3,3,8,2190,0,1952,0,98177,47.7658,-122.37,2520,20500
"12984",490000,3,2.5,3080,7363,2,0,0,3,9,3080,0,2006,0,98055,47.4473,-122.205,2860,5273
"12985",146000,3,1,900,4770,1,0,0,3,6,900,0,1969,2009,98023,47.3038,-122.362,900,3480
