"","y","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"4491",0,"F",0.54,0.44,0.12,1.1025,0.4145,0.195,0.095,9
"4501",0,"M",0.475,0.28,0.09,1.081,0.136,0.0525,0.5055,10
"451",0,"F",0.61,0.53,0.17,0.753,0.34,0.226,0.0675,5
"4521",0,"M",0.615,0.415,0.175,1.587,0.605,0.1675,0.0745,12
"4531",0,"I",0.63,0.44,0.195,1.082,0.028,0.126,0.009,9
"4541",0,"I",0.41,0.425,0.17,0.6025,0.419,0.2905,0.485,11
"4551",0,"M",0.55,0.515,0.13,1.532,0.258,0.351,0.11,4
"4561",0,"F",0.71,0.23,0.08,1.226,0.3345,0.129,0.1695,16
"4571",0,"I",0.47,0.505,0.18,0.1695,0.3025,0.198,0.39,14
"4581",0,"F",0.375,0.265,0.165,0.28,0.464,0.1345,0.4405,17
"4591",0,"F",0.625,0.365,0.185,0.238,0.1565,0.1395,0.104,15
"4601",0,"I",0.41,0.395,0.125,0.5685,0.165,0.0425,0.01,11
"4611",0,"I",0.375,0.485,0.19,0.4725,0.1275,0.2255,0.265,8
"4621",0,"F",0.63,0.5,0.19,0.9445,0.5145,0.1835,0.4245,18
"4631",0,"M",0.61,0.375,0.155,0.765,0.2605,0.1505,0.155,10
"4641",0,"M",0.335,0.315,0.14,0.5095,0.481,0.126,0.0885,12
"4651",0,"M",0.33,0.435,0.215,0.95,0.187,0.49,0.5,9
"4661",0,"M",0.625,0.5,0.11,1.3765,0.1575,0.012,0.2605,5
"467",0,"F",0.565,0.34,0.14,0.832,0.0465,0.1585,0.1885,6
"4681",0,"I",0.59,0.51,0.175,1.1255,0.469,0.239,0.21,17
"4691",0,"F",0.37,0.33,0.17,1.532,0.672,0.2325,0.171,18
"4701",0,"F",0.435,0.365,0.14,0.4775,0.0255,0.2505,0.1195,10
"4711",0,"M",0.67,0.28,0.175,2.103,0.3435,0.095,0.65,10
"4721",0,"I",0.63,0.455,0.185,1.112,0.3135,0.152,0.011,8
"4731",0,"F",0.455,0.325,0.165,1.273,0.0995,0.0105,0.068,13
"4741",0,"F",0.685,0.35,0.17,0.5325,0.308,0.413,0.14,8
"4751",0,"F",0.405,0.45,0.135,0.9645,0.011,0.0925,0.1105,8
"4761",0,"I",0.635,0.32,0.175,0.3075,0.175,0.1815,0.045,9
"477",0,"I",0.57,0.5,0.165,1.406,0.41,0.453,0.1305,9
"4781",0,"I",0.72,0.535,0.14,1.437,0.1175,0.3445,0.01,9
"4791",0,"F",0.67,0.38,0.19,0.415,0.21,0.006,0.135,11
"480",0,"F",0.61,0.46,0.07,0.313,0.135,0.172,0.3825,4
"481",0,"M",0.62,0.485,0.11,1.018,0.033,0.0175,0.245,21
"482",0,"I",0.575,0.28,0.175,1.053,0.134,0.0215,0.341,10
"483",0,"M",0.56,0.455,0.105,0.7895,0.3505,0.2455,0.24,7
"4841",0,"F",0.235,0.355,0.155,1.183,0.4335,0.142,0.35,13
"4851",0,"M",0.615,0.48,0.13,1.0345,0.229,0.295,0.066,10
"4861",0,"I",0.71,0.19,0.135,1.001,0.4985,0.207,0.461,8
"4871",0,"I",0.64,0.38,0.145,1.5845,0.429,0.173,0.475,8
"488",0,"M",0.62,0.47,0.08,0.745,0.3795,0.003,0.05,6
"489",0,"F",0.48,0.365,0.125,0.7745,0.467,0.0775,0.114,13
"4901",0,"M",0.35,0.455,0.175,1.2435,0.5825,0.051,0.05,12
"491",0,"M",0.62,0.475,0.11,0.9125,0.7315,0.2555,0.195,19
"492",0,"I",0.435,0.465,0.125,1.893,0.0995,0.2675,0.277,9
"4931",0,"M",0.515,0.53,0.17,1.3725,0.413,0.2005,0.3055,10
"4941",0,"I",0.66,0.435,0.085,0.7905,0.1895,0.0825,0.41,13
"4951",0,"F",0.685,0.32,0.17,1.053,0.707,0.0265,0.123,13
"496",0,"I",0.59,0.56,0.15,0.174,0.4805,0.0605,0.357,5
"4971",0,"I",0.7,0.435,0.095,1.1405,0.48,0.0265,0.0945,10
"4981",0,"F",0.48,0.4,0.09,0.688,0.192,0.107,0.1455,8
"4991",0,"I",0.655,0.375,0.135,0.4445,0.4345,0.3045,0.225,9
"5001",0,"F",0.725,0.48,0.145,1.145,0.407,0.103,0.245,8
"5011",0,"M",0.65,0.375,0.175,0.38,0.581,0.3515,0.35,8
"5021",0,"M",0.65,0.22,0.1,0.807,0.325,0.117,0.055,13
"5031",0,"F",0.675,0.47,0.135,0.139,0.115,0.199,0.34,9
"5041",0,"M",0.415,0.465,0.14,0.33,0.229,0.1305,0.3735,11
"5051",0,"F",0.54,0.345,0.145,0.4725,0.186,0.0905,0.355,12
"5061",0,"I",0.58,0.35,0.15,0.3265,0.691,0.292,0.19,8
"5071",0,"I",0.625,0.36,0.16,1.1005,0.425,0.0055,0.0965,13
"508",0,"M",0.605,0.405,0.17,1.607,0.378,0.257,0.405,9
"5091",0,"M",0.815,0.42,0.06,1.262,0.56,0.022,0.46,8
"510",0,"I",0.33,0.535,0.16,1.3385,0.346,0.161,0.37,7
"5111",0,"F",0.2,0.23,0.2,0.8565,0.071,0.3125,0.223,9
"5121",0,"I",0.655,0.365,0.165,0.845,0.056,0.2945,0.345,9
"5131",0,"M",0.51,0.47,0.125,1.297,0.405,0.1345,0.055,7
"5141",0,"M",0.425,0.5,0.155,1.8385,0.741,0.0825,0.38,11
"5151",0,"F",0.71,0.495,0.205,0.7655,0.518,0.1915,0.301,8
"5161",0,"F",0.405,0.38,0.135,0.9955,0.13,0.223,0.07,9
"5171",0,"M",0.635,0.255,0.12,2.2305,0.0705,0.042,0.259,12
"5181",0,"I",0.285,0.565,0.15,1.0165,0.109,0.3835,0.385,14
"5191",0,"I",0.415,0.56,0.175,0.059,0.2175,0.2475,0.385,8
"5201",0,"I",0.66,0.34,0.105,1.539,0.4435,0.0635,0.3,9
"5211",0,"I",0.53,0.2,0.17,0.6265,0.27,0.2245,0.24,11
"522",0,"F",0.445,0.255,0.115,1.072,0.27,0.022,0.3805,8
"5231",0,"I",0.275,0.15,0.15,0.378,0.0925,0.1355,0.2705,8
"524",0,"F",0.295,0.405,0.1,1.07,0.599,0.1975,0.432,8
"525",0,"F",0.535,0.525,0.11,0.512,0.0715,0.226,0.008,15
"526",0,"M",0.665,0.485,0.175,0.0245,0.3945,0.3035,0.285,8
"5271",0,"I",0.405,0.24,0.155,1.2395,0.4015,0.0925,0.208,6
"5281",0,"F",0.565,0.435,0.09,0.6185,0.115,0.024,0.0795,7
"529",0,"I",0.57,0.265,0.175,1.1915,0.0625,0.1565,0.035,8
"5301",0,"F",0.515,0.285,0.15,1.3245,0.408,0.2405,0.119,20
"5311",0,"M",0.425,0.555,0.075,0.8705,0.446,0.207,0.285,17
"532",0,"M",0.44,0.49,0.165,1.082,1.026,0.297,0.265,10
"5331",0,"I",0.42,0.28,0.16,1.2385,0.085,0.221,0.16,8
"5341",0,"M",0.285,0.34,0.11,1.825,0.2365,0.176,0.179,6
"535",0,"F",0.43,0.505,0.04,0.6885,0.58,0.0025,0.223,7
"5361",0,"F",0.63,0.48,0.13,1.106,0.2635,0.3035,0.235,10
"5371",0,"M",0.485,0.38,0.135,0.5795,0.244,0.342,0.184,15
"538",0,"M",0.565,0.505,0.16,0.4075,0.524,0.0035,0.135,10
"5391",0,"M",0.44,0.335,0.11,0.858,0.325,0.253,0.275,5
"5401",0,"I",0.5,0.46,0.12,1.2615,0.0905,0.2905,0.215,12
"5411",0,"F",0.485,0.4,0.145,2.173,0.2935,0.3095,0.33,8
"5421",0,"I",0.32,0.505,0.175,0.3265,0.453,0.2315,0.025,10
"5431",0,"I",0.71,0.36,0.15,0.66,0.2655,0.0295,0.885,9
"5441",0,"F",0.385,0.495,0.175,0.258,0.4835,0.1225,0.06,8
"5451",0,"F",0.565,0.42,0.165,1.3325,0.519,0.113,0.067,7
"5461",0,"I",0.535,0.34,0.185,1.128,0.3475,0.024,0.405,13
"5471",0,"M",0.135,0.27,0.175,0.2025,0.081,0.1865,0.259,11
"5481",0,"M",0.72,0.4,0.12,1.428,0.3765,0.3025,0.018,9
"549",0,"F",0.445,0.28,0.11,0.5725,0.387,0.28,0.3415,11
"550",0,"I",0.34,0.475,0.125,1.27,0.2735,0.0575,0.42,10
"5511",0,"F",0.5,0.455,0.155,1.065,1.0685,0.2405,0.2215,3
"5521",0,"M",0.575,0.49,0.06,1.133,0.083,0.219,0.2,12
"5531",0,"I",0.375,0.28,0.19,0.442,0.446,0.0405,0.265,13
"5541",0,"M",0.68,0.44,0.12,0.1785,0.194,0.0345,0.34,18
"5551",0,"F",0.48,0.38,0.125,0.0725,0.4445,0.115,0.3095,8
"5561",0,"M",0.55,0.545,0.095,0.7005,0.598,0.122,0.104,10
"5571",0,"I",0.65,0.22,0.065,1.07,0.5895,0.0715,0.0615,14
"558",0,"M",0.49,0.345,0.12,0.9875,0.2015,0.043,0.14,11
"5591",0,"F",0.595,0.345,0.135,1.382,0.258,0.2205,0.44,4
"5601",0,"F",0.25,0.505,0.15,0.8285,0.893,0.11,0.1115,6
"5611",0,"F",0.57,0.415,0.13,0.549,0.1865,0.2395,0.095,10
"5621",0,"M",0.275,0.525,0.215,1.3405,0.512,0.2835,0.13,12
"5631",0,"M",0.73,0.535,0.14,0.674,0.8955,0.388,0.277,7
"5641",0,"I",0.595,0.52,0.09,0.56,0.1145,0.2405,0.401,10
"5651",0,"M",0.65,0.345,0.1,1.3905,0.292,0.196,0.49,11
"566",0,"M",0.375,0.32,0.125,1.1415,0.469,0.1525,0.342,10
"567",0,"F",0.53,0.39,0.145,0.163,0.456,0.283,0.034,12
"5681",0,"M",0.62,0.29,0.135,0.6385,0.2,0.1045,0.285,9
"5691",0,"M",0.465,0.505,0.115,0.825,0.449,0.0615,0.27,6
"5701",0,"F",0.51,0.445,0.13,0.826,0.261,0.0725,0.115,14
"5711",0,"M",0.555,0.455,0.16,1.8745,1.1055,0.0145,0.295,12
"572",0,"F",0.64,0.455,0.105,0.584,0.249,0.1635,0.125,10
"573",0,"M",0.365,0.48,0.19,1.071,0.4305,0.102,0.4975,5
"5741",0,"F",0.48,0.465,0.14,0.9245,0.497,0.0625,0.135,8
"5751",0,"I",0.325,0.425,0.2,0.622,0.1575,0.0605,0.298,20
"5761",0,"M",0.645,0.565,0.155,0.9175,0.634,0.1775,0.27,16
"5771",0,"I",0.69,0.47,0.175,0.0465,0.4825,0.274,0.2525,15
"5781",0,"I",0.575,0.475,0.105,0.1985,0.462,0.169,0.195,13
"5791",0,"F",0.505,0.5,0.1,0.057,0.196,0.057,0.37,12
"5801",0,"I",0.255,0.25,0.16,0.869,0.3505,0.024,0.3045,10
"5811",0,"M",0.585,0.48,0.08,0.14,0.215,0.1945,0.0825,20
"582",0,"I",0.655,0.375,0.165,1.234,0.4535,0.2575,0.0615,9
"5831",0,"F",0.59,0.505,0.19,1.925,0.7455,0.146,0.08,13
"5841",0,"M",0.27,0.2,0.16,0.425,0.9895,0.131,0.289,9
"585",0,"F",0.575,0.51,0.125,0.257,0.05,0.341,0.45,19
"5861",0,"M",0.41,0.54,0.11,1.4285,0.6655,0.037,0.2515,11
"5871",0,"M",0.64,0.43,0.055,0.259,0.42,0.3585,0.224,16
"5881",0,"I",0.68,0.415,0.14,1.1315,0.186,0.1415,0.1695,9
"5891",0,"M",0.65,0.36,0.175,0.064,0.3455,0.213,0.305,9
"5901",0,"F",0.625,0.41,0.15,0.805,0.5825,0.085,0.265,10
"5911",0,"I",0.52,0.355,0.08,0.617,0.366,0.2005,0.1305,18
"5921",0,"F",0.255,0.395,0.13,1.1385,0.305,0.366,0.41,9
"5931",0,"I",0.66,0.47,0.095,1.623,0.4525,0.211,0.245,9
"5941",0,"I",0.6,0.28,0.155,1.7005,0.094,0.2705,0.255,6
"5951",0,"F",0.335,0.35,0.03,1.966,0.072,0.1175,0.42,19
"5961",0,"F",0.58,0.415,0.125,0.0645,0.5815,0.038,0.02,10
"5971",0,"F",0.63,0.4,0.165,0.922,0.2845,0.117,0.46,6
"5981",0,"I",0.45,0.275,0.14,0.8915,0.5235,0.024,0.3315,9
"5991",0,"I",0.275,0.3,0.125,0.4965,0.097,0.3005,0.357,16
"6001",0,"M",0.48,0.45,0.155,0.334,0.042,0.195,0.0615,7
"601",0,"F",0.535,0.285,0.15,1.56,0.5005,0.325,0.45,8
"6021",0,"I",0.395,0.495,0.155,0.6995,0.2415,0.032,0.41,5
"6031",0,"I",0.635,0.385,0.17,1.187,0.428,0.122,0.1805,11
"6041",0,"M",0.47,0.52,0.195,0.6345,0.3045,0.1235,0.48,10
"6051",0,"M",0.63,0.4,0.125,1.373,0.629,0.4085,0.12,10
"6061",0,"F",0.375,0.275,0.13,0.9395,0.556,0.302,0.17,12
"6071",0,"I",0.185,0.27,0.13,0.8115,0.039,0.213,0.13,10
"608",0,"I",0.625,0.455,0.165,1.2525,0.15,0.3225,0.24,8
"6091",0,"M",0.67,0.52,0.135,0.8025,0.44,0.2635,0.161,10
"6101",0,"I",0.5,0.3,0.14,0.344,0.095,0.0355,0.1255,10
"6111",0,"M",0.37,0.385,0.16,0.456,0.2205,0.416,0.32,6
"6121",0,"I",0.625,0.29,0.11,1.016,0.083,0.107,0.125,9
"6131",0,"I",0.305,0.48,0.14,0.5975,0.2105,0.3125,0.26,11
"614",0,"M",0.52,0.23,0.175,0.482,0.2135,0.2435,0.22,14
"615",0,"M",0.275,0.42,0.13,1.472,0.533,0.248,0.08,5
"6161",0,"I",0.61,0.385,0.15,1.0465,0.3055,0.315,0.199,6
"6171",0,"M",0.52,0.47,0.12,1.4605,0.2345,0.157,0.251,11
"6181",0,"F",0.545,0.27,0.14,0.616,0.1175,0.0355,0.39,8
"6191",0,"M",0.435,0.48,0.14,0.146,0.5575,0.144,0.306,3
"6201",0,"I",0.375,0.285,0.15,0.832,0.667,0.0715,0.095,11
"6211",0,"F",0.58,0.495,0.215,0.53,0.241,0.1965,0.055,4
"6221",0,"I",0.455,0.49,0.125,0.812,0.35,0.3735,0.37,6
"6231",0,"F",0.575,0.395,0.075,0.832,0.2295,0.0955,0.0795,4
"6241",0,"M",0.54,0.575,0.115,1.4775,0.403,0.196,0.233,6
"625",0,"I",0.425,0.335,0.175,0.2935,0.433,0.197,0.47,15
"626",0,"F",0.745,0.365,0.155,0.5525,0.2615,0.1675,0.16,7
"6271",0,"F",0.575,0.455,0.13,1.4405,0.0565,0.2415,0.355,4
"628",0,"I",0.385,0.465,0.065,1.283,0.188,0.1365,0.4,14
"6291",0,"M",0.35,0.43,0.085,0.4415,0.1425,0.1385,0.29,9
"6301",0,"F",0.57,0.28,0.135,0.0465,0.572,0.186,0.32,13
"6311",0,"F",0.56,0.54,0.155,0.9505,0.59,0.3725,0.195,16
"632",0,"I",0.495,0.39,0.13,0.596,0.5665,0.265,0.07,10
"6331",0,"M",0.49,0.355,0.07,1.5545,0.535,0.383,0.235,12
"6341",0,"M",0.355,0.375,0.16,0.8215,0.3155,0.059,0.36,9
"6351",0,"F",0.625,0.51,0.125,0.6735,0.267,0.171,0.07,7
"6361",0,"I",0.505,0.415,0.135,1.129,0.245,0.164,0.5285,11
"6371",0,"I",0.625,0.46,0.165,1.434,0.6845,0.254,0.345,9
"6381",0,"F",0.56,0.265,0.18,0.797,0.0315,0.0135,0.1895,12
"6391",0,"F",0.53,0.365,0.135,0.7365,0.1495,0.318,0.285,11
"6401",0,"I",0.46,0.575,0.125,1.205,0.111,0.239,0.285,8
"6411",0,"F",0.555,0.47,0.15,1.3165,0.3155,0.15,0.135,7
"6421",0,"I",0.56,0.345,0.165,0.2885,0.409,0.3425,0.217,8
"6431",0,"I",0.44,0.305,0.13,0.2885,0.196,0.192,0.086,11
"6441",0,"M",0.44,0.45,0.135,0.6965,0.493,0.306,0.2735,14
"6451",0,"M",0.225,0.48,0.175,0.4975,0.165,0.1235,0.151,13
"6461",0,"M",0.615,0.195,0.15,0.868,0.2385,0.184,0.1775,7
"6471",0,"M",0.485,0.265,0.145,1.0915,0.1395,0.1735,0.205,7
"6481",0,"F",0.5,0.375,0.11,0.462,0.1375,0.115,0.0195,8
"6491",0,"F",0.56,0.27,0.165,0.227,0.0445,0.2,0.2015,10
"6501",0,"I",0.605,0.35,0.075,0.3535,0.312,0.013,0.41,9
"6511",0,"M",0.58,0.47,0.17,0.8565,0.2295,0.0765,0.324,9
"652",0,"F",0.605,0.3,0.1,1.1955,0.616,0.142,0.155,5
"653",0,"M",0.595,0.56,0.165,0.9615,0.6145,0.2015,0.054,9
"6541",0,"F",0.535,0.525,0.145,1.0295,0.5115,0.044,0.214,10
"6551",0,"I",0.585,0.445,0.16,0.5725,0.3625,0.039,0.352,11
"6561",0,"F",0.47,0.525,0.09,0.5395,0.3575,0.2985,0.4,11
"6571",0,"F",0.62,0.59,0.135,1.072,0.2965,0.3435,0.17,8
"6581",0,"I",0.38,0.51,0.085,2.0165,0.2025,0.268,0.2175,20
"6591",0,"I",0.54,0.525,0.11,0.2715,0.55,0.4055,0.365,15
"6601",0,"M",0.48,0.33,0.18,1.2945,0.346,0.318,0.2605,7
"6611",0,"M",0.595,0.48,0.175,0.12,0.1535,0.132,0.2,7
"6621",0,"I",0.52,0.445,0.075,0.7225,0.135,0.237,0.4535,9
"663",0,"M",0.64,0.365,0.16,1.2765,0.3315,0.1805,0.06,12
"6641",0,"I",0.625,0.52,0.11,1.376,0.226,0.198,0.355,10
"6651",0,"M",0.525,0.24,0.115,1.217,0.2835,0.32,0.6,12
"666",0,"F",0.62,0.47,0.08,0.1995,0.394,0.2945,0.185,9
"6671",0,"F",0.59,0.27,0.14,0.8775,0.352,0.2275,0.13,7
"6681",0,"M",0.65,0.485,0.13,1.136,0.6465,0.165,0.321,12
"6691",0,"F",0.72,0.48,0.15,0.5555,0.657,0.116,0.275,8
"6701",0,"M",0.66,0.505,0.2,0.8155,0.6045,0.127,0.76,11
"6711",0,"M",0.76,0.575,0.125,1.127,0.5975,0.166,0.255,7
"6721",0,"I",0.495,0.43,0.175,0.953,0.081,0.003,0.394,10
"6731",0,"M",0.625,0.45,0.08,1.077,0.106,0.2195,0.273,12
"6741",0,"F",0.575,0.345,0.17,1.79,0.271,0.386,0.3,18
"6751",0,"F",0.22,0.43,0.095,0.3215,0.402,0.293,0.299,7
"6761",0,"I",0.595,0.425,0.105,1.101,0.369,0.302,0.2385,8
"677",0,"I",0.575,0.465,0.17,1.337,0.4535,0.3515,0.354,9
"6781",0,"M",0.645,0.395,0.15,0.8305,0.2855,0.0685,0.165,9
"6791",0,"I",0.47,0.5,0.12,0.8445,0.215,0.209,0.172,7
"6801",0,"I",0.63,0.505,0.11,0.615,0.363,0.0065,0.125,8
"6811",0,"M",0.28,0.275,0.04,0.464,0.598,0.1465,0.129,10
"6821",0,"I",0.46,0.48,0.095,1.3185,0.441,0.2325,0.213,11
"6831",0,"I",0.505,0.56,0.135,0.306,0.5735,0.223,0.18,11
"6841",0,"I",0.61,0.485,0.175,2.012,0.15,0.12,0.23,7
"685",0,"M",0.275,0.375,0.155,0.5435,0.3495,0.232,0.3535,17
"686",0,"M",0.25,0.515,0.095,0.44,0.6135,0.0175,0.185,11
"6871",0,"M",0.655,0.455,0.105,0.4565,0.48,0.0665,0.0985,8
"6881",0,"F",0.51,0.44,0.135,0.4085,0.2525,0.3045,0.1765,9
"6891",0,"I",0.515,0.445,0.12,1.054,0.6485,0.171,0.08,6
"6901",0,"I",0.63,0.6,0.07,0.6445,0.4175,0.49,0.1215,8
"6911",0,"I",0.44,0.54,0.135,1.122,0.3685,0.228,0.159,10
"6921",0,"F",0.665,0.49,0.18,2.657,0.2345,0.0335,0.4735,9
"6931",0,"M",0.575,0.525,0.12,0.8855,0.4375,0.1945,0.395,9
"694",0,"M",0.6,0.49,0.13,0.852,0.2905,0.0375,0.115,6
"6951",0,"F",0.695,0.43,0.09,0.862,0.371,0.163,0.115,13
"6961",0,"I",0.615,0.35,0.13,1.2425,0.172,0.041,0.354,17
"6971",0,"I",0.685,0.47,0.15,0.3215,0.594,0.06,0.249,7
"698",0,"M",0.58,0.5,0.09,0.3005,0.4615,0.015,0.146,7
"6991",0,"M",0.59,0.27,0.18,0.2045,0.279,0.1525,0.305,9
"7001",0,"M",0.55,0.28,0.075,0.368,0.2895,0.0105,0.305,10
"7011",0,"I",0.615,0.49,0.09,1.2975,0.071,0.1435,0.305,12
"702",0,"I",0.445,0.32,0.125,0.8115,0.336,0.1805,0.13,8
"7031",0,"M",0.52,0.37,0.115,1.409,0.236,0.1755,0.235,9
"704",0,"M",0.4,0.495,0.18,0.906,0.1975,0.1955,0.1775,12
"7051",0,"M",0.515,0.4,0.105,0.549,0.377,0.052,0.085,9
"7061",0,"M",0.57,0.495,0.175,1.197,0.4255,0.073,0.389,19
"7071",0,"M",0.46,0.4,0.16,1.1325,0.4945,0.16,0.09,6
"7081",0,"M",0.625,0.465,0.16,1.406,0.49,0.115,0.0345,12
"7091",0,"F",0.57,0.515,0.1,0.848,0.279,0.3225,0.355,10
"7101",0,"M",0.46,0.455,0.175,0.4475,0.1185,0.336,0.1305,11
"711",0,"I",0.445,0.375,0.155,1.003,0.524,0.3035,0.58,9
"712",0,"M",0.525,0.43,0.18,1.737,0.2825,0.296,0.438,8
"7131",0,"M",0.61,0.6,0.1,1.2915,0.017,0.017,0.365,6
"7141",0,"M",0.5,0.375,0.125,0.8345,0.26,0.18,0.26,11
"7151",0,"I",0.61,0.525,0.12,0.3595,0.078,0.0305,0.35,6
"716",0,"F",0.475,0.42,0.17,1.622,0.156,0.167,0.2565,9
"717",0,"M",0.485,0.325,0.105,1.273,0.566,0.284,0.075,9
"718",0,"F",0.535,0.375,0.145,1.2205,0.2665,0.263,0.035,11
"7191",0,"M",0.38,0.455,0.07,0.7575,0.565,0.2625,0.2875,9
"720",0,"F",0.535,0.51,0.205,0.854,0.06,0.102,0.0215,8
"7211",0,"F",0.57,0.4,0.14,0.927,0.7635,0.1395,0.3285,6
"7221",0,"M",0.72,0.57,0.15,0.6985,0.0095,0.351,0.085,15
"7231",0,"F",0.39,0.385,0.07,1.088,0.0515,0.146,0.4825,11
"7241",0,"M",0.45,0.25,0.105,0.867,0.1335,0.142,0.1485,9
"7251",0,"M",0.6,0.545,0.2,0.9845,0.1125,0.04,0.12,9
"7261",0,"F",0.33,0.4,0.09,1.1335,0.175,0.2875,0.0465,9
"7271",0,"M",0.52,0.475,0.19,0.2425,0.938,0.109,0.02,13
"7281",0,"M",0.695,0.385,0.1,0.1385,0.234,0.186,0.344,9
"7291",0,"M",0.505,0.345,0.175,1.212,0.2825,0.354,0.222,7
"7301",0,"F",0.65,0.345,0.21,1.2,0.5515,0.213,0.079,9
"7311",0,"F",0.385,0.22,0.09,1.056,0.3225,0.11,0.0525,3
"7321",0,"F",0.455,0.38,0.09,0.411,0.403,0.2985,0.5235,17
"7331",0,"F",0.44,0.535,0.175,1.247,0.6495,0.1985,0.2405,11
"7341",0,"M",0.595,0.42,0.155,0.9315,0.496,0.3685,0.027,9
"7351",0,"F",0.435,0.5,0.125,1.254,0.1655,0.1615,0.2285,12
"736",0,"M",0.58,0.405,0.13,0.8435,0.4935,0.2405,0.07,8
"7371",0,"I",0.31,0.42,0.08,1.0475,0.2645,0.158,0.139,6
"7381",0,"F",0.625,0.525,0.105,1.4285,0.621,0.1,0.3415,10
"7391",0,"F",0.62,0.42,0.2,1.6445,0.1615,0.1635,0.335,11
"7401",0,"M",0.455,0.47,0.16,0.8775,0.416,0.3595,0.249,9
"741",0,"I",0.73,0.38,0.155,0.1345,0.122,0.0885,0.48,7
"7421",0,"F",0.55,0.41,0.16,1.7095,0.432,0.0945,0.325,8
"7431",0,"F",0.475,0.52,0.17,0.8765,0.3345,0.5745,0.219,16
"7441",0,"M",0.62,0.5,0.075,1.186,0.5345,0.1825,0.01,12
"7451",0,"I",0.63,0.385,0.195,1.065,0.4985,0.0685,0.2365,8
"7461",0,"I",0.245,0.385,0.2,1.0175,0.1685,0.067,0.195,17
"7471",0,"I",0.33,0.5,0.14,1.115,0.686,0.0285,0.175,11
"7481",0,"M",0.72,0.6,0.13,0.265,0.0675,0.114,0.145,7
"7491",0,"M",0.435,0.565,0.17,1.3745,0.5265,0.0505,0.4,7
"7501",0,"F",0.585,0.53,0.165,0.8295,0.196,0.2195,0.2,11
"7511",0,"M",0.52,0.35,0.12,0.7125,0.4155,0.3405,0.287,12
"7521",0,"I",0.61,0.355,0.205,0.2875,0.446,0.152,0.175,10
"7531",0,"M",0.59,0.21,0.145,0.5395,0.3045,0.1405,0.149,12
"7541",0,"M",0.615,0.595,0.15,1.473,0.632,0.2405,0.435,9
"7551",0,"F",0.6,0.495,0.09,0.1855,0.3465,0.226,0.19,8
"7561",0,"F",0.605,0.435,0.075,0.739,0.6575,0.0535,0.142,10
"7571",0,"M",0.47,0.435,0.12,0.144,0.1425,0.037,0.565,8
"7581",0,"M",0.61,0.555,0.19,0.812,0.205,0.0575,0.365,9
"759",0,"I",0.485,0.4,0.075,0.4025,0.1575,0.142,0.17,12
"7601",0,"I",0.66,0.31,0.085,0.4495,0.1775,0.123,0.335,10
"7611",0,"F",0.605,0.4,0.13,0.3415,0.022,0.207,0.135,8
"762",0,"M",0.505,0.46,0.12,0.5365,0.173,0.291,0.2835,11
"763",0,"F",0.47,0.4,0.125,0.425,0.4875,0.021,0.35,5
"7641",0,"F",0.505,0.475,0.135,0.17,0.044,0.339,0.034,8
"7651",0,"I",0.615,0.345,0.145,1.195,0.456,0.0485,0.58,6
"7661",0,"I",0.575,0.255,0.15,0.6885,0.6655,0.0395,0.1505,5
"7671",0,"I",0.35,0.44,0.145,1.053,0.0125,0.0265,0.255,8
"7681",0,"F",0.63,0.435,0.135,0.9,0.2415,0.016,0.07,10
"7691",0,"I",0.69,0.565,0.175,0.556,0.2385,0.2355,0.3595,11
"7701",0,"M",0.44,0.395,0.12,1.596,0.2405,0.0675,0.148,10
"7711",0,"F",0.505,0.32,0.095,0.7,0.447,0.111,0.2985,7
"772",0,"I",0.615,0.3,0.09,0.511,0.2925,0.089,0.245,13
"7731",0,"I",0.59,0.375,0.165,0.8175,0.653,0.0205,0.2165,6
"7741",0,"I",0.62,0.55,0.135,0.8345,0.019,0.315,0.01,12
"775",0,"M",0.41,0.475,0.175,0.973,0.3435,0.0775,0.32,9
"7761",0,"M",0.61,0.32,0.09,0.967,0.364,0.1455,0.145,16
"7771",0,"M",0.485,0.465,0.11,0.755,0.207,0.1285,0.3705,6
"7781",0,"M",0.675,0.5,0.215,0.7545,1.095,0.3135,0.3345,8
"7791",0,"F",0.305,0.435,0.125,0.3425,0.3505,0.122,0.3505,7
"7801",0,"F",0.35,0.375,0.065,1.492,0.61,0.212,0.4,9
"7811",0,"F",0.55,0.41,0.215,0.7715,0.0725,0.4305,0.085,9
"7821",0,"M",0.305,0.355,0.16,0.0815,0.146,0.0515,0.055,12
"7831",0,"M",0.6,0.365,0.165,1.0475,0.419,0.375,0.1385,8
"784",0,"F",0.4,0.33,0.1,1.3075,0.347,0.36,0.29,11
"785",0,"M",0.66,0.44,0.14,0.7115,0.5515,0.1505,0.09,14
"7861",0,"I",0.695,0.18,0.165,0.8085,0.4955,0.286,0.46,9
"7871",0,"I",0.435,0.125,0.15,0.6515,0.128,0.3445,0.2475,7
"7881",0,"M",0.59,0.45,0.135,1.3665,0.3,0.3705,0.2765,9
"789",0,"F",0.37,0.35,0.16,0.166,0.2075,0.123,0.215,10
"790",0,"M",0.575,0.55,0.07,0.303,0.735,0.232,0.365,7
"7911",0,"F",0.58,0.48,0.225,1.41,0.2935,0.057,0.1405,19
"7921",0,"F",0.51,0.35,0.175,1.056,0.1575,0.063,0.125,11
